model,policy,risk_delta,selected_threshold,validation_occupancy_conflict_rate,test_occupancy_conflict_rate,recommendation_rate,empty_recall,empty_precision,safe_shiftable_load_kwh,gross_shiftable_load_kwh,conflict_kwh,kwh_per_day,number_of_recommended_windows,number_of_safe_windows,average_window_duration,selection_met_validation_constraint,test_constraint_met
Historical average,5% max occupancy-conflict,0.05,0.95,0.0833333333333333,0.0,0.015988372093023256,0.05754141238012206,1.0,94.623047827,94.623047827,0.0,2.200535995976744,12,12,1.375,False,True
Historical average,10% max occupancy-conflict,0.1,0.95,0.0833333333333333,0.0,0.015988372093023256,0.05754141238012206,1.0,94.623047827,94.623047827,0.0,2.200535995976744,12,12,1.375,True,True
Historical average,20% max occupancy-conflict,0.2,0.725,0.1914191419141914,0.09117647058823529,0.16472868217054262,0.5387968613775065,0.9088235294117647,1254.3981083937501,1455.660781429,201.26267303525003,29.172049032412794,55,33,3.090909090909091,True,True
LightGBM,5% max occupancy-conflict,0.05,0.95,0.0960960960960961,0.04150943396226415,0.06419573643410853,0.22144725370531823,0.9584905660377359,493.9231551775,537.8782430785,43.955087901,11.486585004127907,19,16,3.486842105263158,False,True
LightGBM,10% max occupancy-conflict,0.1,0.95,0.0960960960960961,0.04150943396226415,0.06419573643410853,0.22144725370531823,0.9584905660377359,493.9231551775,537.8782430785,43.955087901,11.486585004127907,19,16,3.486842105263158,True,True
LightGBM,20% max occupancy-conflict,0.2,0.875,0.1660516605166051,0.0854368932038835,0.1247577519379845,0.4106364428945074,0.9145631067961165,918.45705870275,1026.34801650675,107.89095780399998,21.359466481459304,33,18,3.9015151515151514,True,True
Random forest,5% max occupancy-conflict,0.05,0.925,0.042016806722689,0.05319148936170213,0.045542635658914726,0.15518744551002617,0.9468085106382979,359.54058390725004,402.338954703,42.79837079575,8.361408928075582,10,7,4.7,True,False
Random forest,10% max occupancy-conflict,0.1,0.925,0.042016806722689,0.05319148936170213,0.045542635658914726,0.15518744551002617,0.9468085106382979,359.54058390725004,402.338954703,42.79837079575,8.361408928075582,10,7,4.7,True,True
Random forest,20% max occupancy-conflict,0.2,0.85,0.1722054380664652,0.06976744186046512,0.09375,0.31386224934612034,0.9302325581395349,705.616376584,791.5412335102501,85.92485692625,16.409683176372095,18,10,5.375,True,True
DLinear,5% max occupancy-conflict,0.05,0.925,0.0,0.32967032967032966,0.022044573643410854,0.05318221447253706,0.6703296703296703,107.1734133875,211.81172832299998,104.6383149355,2.4924049625,6,2,3.7916666666666665,True,False
DLinear,10% max occupancy-conflict,0.1,0.875,0.0754716981132075,0.43870967741935485,0.0375484496124031,0.07585004359197908,0.5612903225806452,185.0878424105,421.53109268625,236.44325027575,4.304368428151163,7,3,5.535714285714286,True,False
DLinear,20% max occupancy-conflict,0.2,0.8,0.1980676328502415,0.5526315789473685,0.06443798449612403,0.1037489102005231,0.4473684210526316,254.84342862750003,705.1781252265,450.334696599,5.926591363430234,8,4,8.3125,True,False
Transformer,5% max occupancy-conflict,0.05,0.9,0.0219780219780219,0.0967741935483871,0.0075096899224806205,0.024411508282476024,0.9032258064516129,97.43921710375,101.53218494,4.092967836250001,2.266028304738372,2,1,3.875,True,False
Transformer,10% max occupancy-conflict,0.1,0.9,0.0219780219780219,0.0967741935483871,0.0075096899224806205,0.024411508282476024,0.9032258064516129,97.43921710375,101.53218494,4.092967836250001,2.266028304738372,2,1,3.875,True,True
Transformer,20% max occupancy-conflict,0.2,0.85,0.1992619926199262,0.058823529411764705,0.024709302325581394,0.08369659982563209,0.9411764705882353,292.2875881835,305.76981900600003,13.4822308225,6.797385771709303,8,6,3.1875,True,True
