candidate,transformer_weight,historical_average_weight,validation_auprc_empty
Seasonal-Transformer blend,0.0,1.0,0.6700951283624541
Seasonal-Transformer blend,0.01,0.99,0.6868629779771876
Seasonal-Transformer blend,0.02,0.98,0.6867534748314734
Seasonal-Transformer blend,0.03,0.97,0.6866495547539503
Seasonal-Transformer blend,0.04,0.96,0.6867029253931445
Seasonal-Transformer blend,0.05,0.95,0.6874496936300336
Seasonal-Transformer blend,0.06,0.94,0.6880556935118622
Seasonal-Transformer blend,0.07,0.9299999999999999,0.6887995191451226
Seasonal-Transformer blend,0.08,0.92,0.6896766136243866
Seasonal-Transformer blend,0.09,0.91,0.6908583362227978
Seasonal-Transformer blend,0.1,0.9,0.6920585279743052
Seasonal-Transformer blend,0.11,0.89,0.693194807953974
Seasonal-Transformer blend,0.12,0.88,0.6943131796554123
Seasonal-Transformer blend,0.13,0.87,0.6954322417778733
Seasonal-Transformer blend,0.14,0.86,0.696459655663413
Seasonal-Transformer blend,0.15,0.85,0.6974267380470023
Seasonal-Transformer blend,0.16,0.84,0.6984206785118712
Seasonal-Transformer blend,0.17,0.83,0.6994394290776158
Seasonal-Transformer blend,0.18,0.8200000000000001,0.7004821132868251
Seasonal-Transformer blend,0.19,0.81,0.701485216957884
Seasonal-Transformer blend,0.2,0.8,0.7024433238135266
Seasonal-Transformer blend,0.21,0.79,0.7033740058776428
Seasonal-Transformer blend,0.22,0.78,0.7042918404415195
Seasonal-Transformer blend,0.23,0.77,0.7051839414723988
Seasonal-Transformer blend,0.24,0.76,0.7060658765922405
Seasonal-Transformer blend,0.25,0.75,0.7069187498690005
Seasonal-Transformer blend,0.26,0.74,0.707749125581056
Seasonal-Transformer blend,0.27,0.73,0.7085572963759853
Seasonal-Transformer blend,0.28,0.72,0.7093208643758167
Seasonal-Transformer blend,0.29,0.71,0.7100520480806167
Seasonal-Transformer blend,0.3,0.7,0.7107526677224084
Seasonal-Transformer blend,0.31,0.69,0.7114080152170962
Seasonal-Transformer blend,0.32,0.6799999999999999,0.7120301795634231
Seasonal-Transformer blend,0.33,0.6699999999999999,0.7126285509381372
Seasonal-Transformer blend,0.34,0.6599999999999999,0.7132070413875711
Seasonal-Transformer blend,0.35000000000000003,0.6499999999999999,0.7137534857402933
Seasonal-Transformer blend,0.36,0.64,0.7142669352606228
Seasonal-Transformer blend,0.37,0.63,0.7147440011315866
Seasonal-Transformer blend,0.38,0.62,0.7151673078022364
Seasonal-Transformer blend,0.39,0.61,0.7155443797293051
Seasonal-Transformer blend,0.4,0.6,0.7158650721560678
Seasonal-Transformer blend,0.41000000000000003,0.59,0.7161290765085166
Seasonal-Transformer blend,0.42,0.5800000000000001,0.7163514959039256
Seasonal-Transformer blend,0.43,0.5700000000000001,0.716525630853674
Seasonal-Transformer blend,0.44,0.56,0.7166500155031001
Seasonal-Transformer blend,0.45,0.55,0.7167342096018667
Seasonal-Transformer blend,0.46,0.54,0.716773454879707
Seasonal-Transformer blend,0.47000000000000003,0.53,0.7167656428780701
Seasonal-Transformer blend,0.48,0.52,0.7167040883976729
Seasonal-Transformer blend,0.49,0.51,0.7165925439379086
Seasonal-Transformer blend,0.5,0.5,0.7164422993116832
Seasonal-Transformer blend,0.51,0.49,0.7162544247302642
Seasonal-Transformer blend,0.52,0.48,0.7160354421441503
Seasonal-Transformer blend,0.53,0.47,0.715793321842599
Seasonal-Transformer blend,0.54,0.45999999999999996,0.7155258634218693
Seasonal-Transformer blend,0.55,0.44999999999999996,0.7152372377981744
Seasonal-Transformer blend,0.56,0.43999999999999995,0.7149288136170554
Seasonal-Transformer blend,0.5700000000000001,0.42999999999999994,0.7146066751636806
Seasonal-Transformer blend,0.58,0.42000000000000004,0.7142740271583625
Seasonal-Transformer blend,0.59,0.41000000000000003,0.7139382300529492
Seasonal-Transformer blend,0.6,0.4,0.7135958080066442
Seasonal-Transformer blend,0.61,0.39,0.7132515437852895
Seasonal-Transformer blend,0.62,0.38,0.712900322420753
Seasonal-Transformer blend,0.63,0.37,0.712549942060078
Seasonal-Transformer blend,0.64,0.36,0.7122039488713576
Seasonal-Transformer blend,0.65,0.35,0.7118547979779984
Seasonal-Transformer blend,0.66,0.33999999999999997,0.7115003327139996
Seasonal-Transformer blend,0.67,0.32999999999999996,0.7111449289261453
Seasonal-Transformer blend,0.68,0.31999999999999995,0.7107945398360933
Seasonal-Transformer blend,0.6900000000000001,0.30999999999999994,0.7104475121566206
Seasonal-Transformer blend,0.7000000000000001,0.29999999999999993,0.7100996291895416
Seasonal-Transformer blend,0.71,0.29000000000000004,0.7097571085057609
Seasonal-Transformer blend,0.72,0.28,0.7094166932260609
Seasonal-Transformer blend,0.73,0.27,0.7090689288385998
Seasonal-Transformer blend,0.74,0.26,0.7087090340804323
Seasonal-Transformer blend,0.75,0.25,0.7083329996870683
Seasonal-Transformer blend,0.76,0.24,0.7079428868821845
