model,threshold,test_occupancy_conflict_rate,recommendation_rate,empty_recall,safe_shiftable_load_kwh,kwh_per_day
Historical average,0.05,0.6006446991404012,0.6763565891472868,0.972101133391456,2166.22484385625,50.37732195014535
Historical average,0.075,0.550987505038291,0.6010174418604651,0.9712292938099389,2162.7201070137503,50.29581644218024
Historical average,0.1,0.5437731196054254,0.5893895348837209,0.967741935483871,2151.33140800125,50.03096297677326
Historical average,0.125,0.4741919922817173,0.5021802325581395,0.9503051438535309,2107.67217609825,49.01563200228488
Historical average,0.15,0.4329681794470527,0.4643895348837209,0.9476896251089799,2103.9461600165,48.9289804655
Historical average,0.175,0.43223443223443225,0.4629360465116279,0.9459459459459459,2097.78282668325,48.7856471321686
Historical average,0.2,0.40266222961730447,0.4367732558139535,0.9389712292938099,2076.78857982325,48.29740883309884
Historical average,0.225,0.40033407572383073,0.43507751937984496,0.9389712292938099,2076.78857982325,48.29740883309884
Historical average,0.25,0.40033407572383073,0.43507751937984496,0.9389712292938099,2076.78857982325,48.29740883309884
Historical average,0.275,0.3968609865470852,0.4321705426356589,0.9380993897122929,2076.75857982325,48.29671115868023
Historical average,0.3,0.39090909090909093,0.4263565891472868,0.934612031386225,2076.2330535075,48.284489616453484
Historical average,0.325,0.39090909090909093,0.4263565891472868,0.934612031386225,2076.2330535075,48.284489616453484
Historical average,0.35,0.36066584463625156,0.39292635658914726,0.9040976460331299,2038.0372558597498,47.396215252552324
Historical average,0.375,0.33554817275747506,0.3645833333333333,0.8718395815170009,1966.3563258634997,45.7292168805465
Historical average,0.4,0.33554817275747506,0.3645833333333333,0.8718395815170009,1966.3563258634997,45.7292168805465
Historical average,0.425,0.3022440392706872,0.34544573643410853,0.8674803836094158,1957.7771243667498,45.5297005666686
Historical average,0.45,0.2922848664688427,0.32655038759689925,0.8317349607672189,1858.6172271665,43.22365644573256
Historical average,0.475,0.2922848664688427,0.32655038759689925,0.8317349607672189,1858.6172271665,43.22365644573256
Historical average,0.5,0.24789915966386555,0.2882751937984496,0.7802964254577158,1769.8380240247498,41.159023814529064
Historical average,0.525,0.24239713774597496,0.2708333333333333,0.7384481255448997,1638.2629717652499,38.09913887826163
Historical average,0.55,0.2392086330935252,0.2693798449612403,0.7375762859633828,1638.2296384319998,38.09836368446511
Historical average,0.575,0.19539078156312625,0.24176356589147288,0.7000871839581517,1575.6081575857502,36.642050176412795
Historical average,0.6,0.17782426778242677,0.2315891472868217,0.6852659110723627,1548.5913947080003,36.013753365302335
Historical average,0.625,0.17782426778242677,0.2315891472868217,0.6852659110723627,1548.5913947080003,36.013753365302335
Historical average,0.65,0.14105504587155962,0.21124031007751937,0.6530078465562337,1478.2729653867502,34.37844105550582
Historical average,0.675,0.13012048192771083,0.2010658914728682,0.6294681778552746,1435.8299310955,33.391393746406976
Historical average,0.7,0.12216624685138538,0.1923449612403101,0.6076721883173496,1351.4541455,31.429166174418608
Historical average,0.725,0.09117647058823529,0.16472868217054262,0.5387968613775065,1254.3981083937501,29.172049032412794
Historical average,0.75,0.061224489795918366,0.14244186046511628,0.4812554489973845,1087.952718521,25.301226012116278
Historical average,0.775,0.061224489795918366,0.14244186046511628,0.4812554489973845,1087.952718521,25.301226012116278
Historical average,0.8,0.057815845824411134,0.11312984496124032,0.3836094158674804,867.9304711660001,20.184429562000002
Historical average,0.825,0.03551912568306011,0.08866279069767442,0.3077593722755013,658.0464069175,15.303404812034884
Historical average,0.85,0.03551912568306011,0.08866279069767442,0.3077593722755013,658.0464069175,15.303404812034884
Historical average,0.875,0.03459119496855346,0.07703488372093023,0.26765475152571927,569.24315726975,13.238212959761627
Historical average,0.9,0.0,0.04215116279069767,0.15170008718395817,249.14667954175002,5.794108826552326
Historical average,0.925,0.0,0.04215116279069767,0.15170008718395817,249.14667954175002,5.794108826552326
Historical average,0.95,0.0,0.015988372093023256,0.05754141238012206,94.623047827,2.200535995976744
LightGBM,0.05,0.5401968826907301,0.5906007751937985,0.977332170880558,2244.17467959775,52.19010882785465
LightGBM,0.075,0.5094422485726834,0.5515988372093024,0.97384481255449,2237.81277170275,52.042157481459306
LightGBM,0.1,0.4716890595009597,0.5048449612403101,0.959895379250218,2212.46943858525,51.45277764151744
