estimate_type,model_or_contrast,metric,point_estimate,ci95_low,ci95_high,daily_blocks,bootstrap_reps,random_seed,resampling_unit,interpretation
model,Hybrid Seasonal-GBDT-Transformer,empty_auprc,0.852211936160553,0.7918268269340509,0.9016261918082747,43,2000,42,43 non-overlapping midnight-anchored test forecast days,Held-out point estimate with daily-block percentile interval
model,Hybrid Seasonal-GBDT-Transformer,safe_opportunity_kwh,490.1463795264999,153.05469133925624,966.6891604472,43,2000,42,43 non-overlapping midnight-anchored test forecast days,Held-out point estimate with daily-block percentile interval
model,LightGBM,empty_auprc,0.835935988783293,0.7626172868613945,0.8936729495255744,43,2000,42,43 non-overlapping midnight-anchored test forecast days,Held-out point estimate with daily-block percentile interval
model,LightGBM,safe_opportunity_kwh,493.9231551775,130.1107998372875,1085.2617658977497,43,2000,42,43 non-overlapping midnight-anchored test forecast days,Held-out point estimate with daily-block percentile interval
model,Historical Average,empty_auprc,0.848051667190102,0.7925174662853981,0.8916255556450234,43,2000,42,43 non-overlapping midnight-anchored test forecast days,Held-out point estimate with daily-block percentile interval
model,Historical Average,safe_opportunity_kwh,94.623047827,20.780340394425,191.88467605326863,43,2000,42,43 non-overlapping midnight-anchored test forecast days,Held-out point estimate with daily-block percentile interval
paired_difference,Primary minus LightGBM,empty_auprc,0.016275947377260014,-0.005020175773487642,0.04263803444166638,43,2000,42,43 non-overlapping midnight-anchored test forecast days,Paired difference; interval crossing zero does not establish a difference
paired_difference,Primary minus LightGBM,safe_opportunity_kwh,-3.7767756510000936,-208.18082707885003,174.60525122284358,43,2000,42,43 non-overlapping midnight-anchored test forecast days,Paired difference; interval crossing zero does not establish a difference
paired_difference,Primary minus Historical Average,empty_auprc,0.004160268970450964,-0.03041152627987078,0.037653718957843835,43,2000,42,43 non-overlapping midnight-anchored test forecast days,Paired difference; interval crossing zero does not establish a difference
paired_difference,Primary minus Historical Average,safe_opportunity_kwh,395.5233316994999,126.999961478525,786.1754824898185,43,2000,42,43 non-overlapping midnight-anchored test forecast days,Paired difference; interval crossing zero does not establish a difference
