split,model,policy,positive_class,empty_probability_threshold,minimum_empty_window_hours,predicted_empty_window_count,true_empty_window_count,safe_predicted_window_count,conflict_predicted_window_count,window_level_precision,window_level_recall,window_level_occupancy_conflict_rate,average_detected_window_duration_hours,double_counting_policy
validation_daily,Historical average,threshold_sweep,empty,0.05,1.0,61,44,4,57,0.06557377049180328,0.9772727272727273,0.9344262295081968,10.577868852459016,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.075,1.0,79,44,2,77,0.02531645569620253,0.9318181818181818,0.9746835443037974,7.231012658227848,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.1,1.0,89,44,4,85,0.0449438202247191,0.9318181818181818,0.9550561797752809,6.306179775280899,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.125,1.0,72,44,3,69,0.041666666666666664,0.9318181818181818,0.9583333333333334,6.576388888888889,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.15,1.0,55,44,3,52,0.05454545454545454,0.9318181818181818,0.9454545454545454,7.931818181818182,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.175,1.0,55,44,4,51,0.07272727272727272,0.9318181818181818,0.9272727272727272,7.909090909090909,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.2,1.0,39,44,3,36,0.07692307692307693,0.9090909090909091,0.9230769230769231,10.544871794871796,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.225,1.0,39,44,3,36,0.07692307692307693,0.9090909090909091,0.9230769230769231,10.506410256410257,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.25,1.0,39,44,3,36,0.07692307692307693,0.9090909090909091,0.9230769230769231,10.506410256410257,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.275,1.0,45,44,4,41,0.08888888888888889,0.9090909090909091,0.9111111111111111,9.044444444444444,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.3,1.0,45,44,4,41,0.08888888888888889,0.9090909090909091,0.9111111111111111,8.911111111111111,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.325,1.0,45,44,4,41,0.08888888888888889,0.9090909090909091,0.9111111111111111,8.911111111111111,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.35,1.0,51,44,7,44,0.13725490196078433,0.8863636363636364,0.8627450980392157,7.186274509803922,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.375,1.0,45,44,11,34,0.24444444444444444,0.8863636363636364,0.7555555555555555,7.511111111111111,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.4,1.0,45,44,11,34,0.24444444444444444,0.8863636363636364,0.7555555555555555,7.511111111111111,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.425,1.0,39,44,11,28,0.28205128205128205,0.8863636363636364,0.717948717948718,8.217948717948717,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.45,1.0,55,44,17,38,0.3090909090909091,0.8863636363636364,0.6909090909090909,5.5,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.475,1.0,55,44,17,38,0.3090909090909091,0.8863636363636364,0.6909090909090909,5.5,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.5,1.0,39,44,14,25,0.358974358974359,0.8636363636363636,0.6410256410256411,6.8076923076923075,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.525,1.0,51,44,19,32,0.37254901960784315,0.8636363636363636,0.6274509803921569,4.901960784313726,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.55,1.0,56,44,20,36,0.35714285714285715,0.8636363636363636,0.6428571428571429,4.441964285714286,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.575,1.0,45,44,18,27,0.4,0.8409090909090909,0.6,4.95,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.6,1.0,56,44,21,35,0.375,0.8409090909090909,0.625,3.799107142857143,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.625,1.0,56,44,21,35,0.375,0.8409090909090909,0.625,3.799107142857143,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.65,1.0,39,44,18,21,0.46153846153846156,0.8181818181818182,0.5384615384615384,4.948717948717949,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.675,1.0,49,44,24,25,0.4897959183673469,0.8181818181818182,0.5102040816326531,3.739795918367347,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.7,1.0,49,44,25,24,0.5102040816326531,0.8181818181818182,0.4897959183673469,3.586734693877551,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.725,1.0,49,44,28,21,0.5714285714285714,0.8181818181818182,0.42857142857142855,3.0918367346938775,non-overlapping daily forecast anchors and disjoint run extraction
