grid_order,selection_split,forecast_metric_scope,policy_metric_scope,seasonal_weight,lightgbm_weight,transformer_weight,nonzero_components,threshold,validation_empty_auprc,validation_occupancy_conflict_rate,validation_safe_opportunity_kwh,recommendation_coverage,recommended_intervals,safe_intervals,conflict_intervals,recommended_windows,safe_windows,conflict_windows,validation_empty_recall,validation_gross_opportunity_kwh,validation_conflict_opportunity_kwh,window_conflict_rate,minimum_window_steps,minimum_window_hours,daily_schedules,total_intervals
0,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.05,0.6904108616416211,0.6518361581920904,1614.71146587675,0.7564102564102564,2832,986,1846,62,2,60,0.9079189686924494,6355.346121162999,4740.634655286251,0.967741935483871,4,1.0,39,3744
1,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.075,0.6904108616416211,0.6182816790898391,1580.9951543162501,0.6808226495726496,2549,973,1576,65,2,63,0.8959484346224678,5576.02359870675,3995.0284443905,0.9692307692307692,4,1.0,39,3744
2,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.1,0.6904108616416211,0.5901918976545842,1562.48254277325,0.6263354700854701,2345,961,1384,66,3,63,0.8848987108655617,4990.18363270375,3427.7010899304996,0.9545454545454546,4,1.0,39,3744
3,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.125,0.6904108616416211,0.5625866050808314,1540.2474524935,0.5782585470085471,2165,947,1218,63,3,60,0.8720073664825047,4538.05705724,2997.8096047464996,0.9523809523809523,4,1.0,39,3744
4,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.15,0.6904108616416211,0.5398622047244095,1521.88216657725,0.5427350427350427,2032,935,1097,53,2,51,0.8609576427255985,4229.56371888825,2707.681552311,0.9622641509433962,4,1.0,39,3744
5,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.175,0.6904108616416211,0.5292620865139949,1520.5904999105,0.5248397435897436,1965,925,1040,46,0,46,0.8517495395948435,4105.915296258499,2585.324796348,1.0,4,1.0,39,3744
6,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.2,0.6904108616416211,0.5182481751824818,1520.4467499105,0.5122863247863247,1918,924,994,42,0,42,0.850828729281768,3974.92006243175,2454.4733125212497,1.0,4,1.0,39,3744
7,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.225,0.6904108616416211,0.5093134646088345,1518.70003938425,0.5018696581196581,1879,922,957,41,0,41,0.848987108655617,3867.0803865769994,2348.3803471927495,1.0,4,1.0,39,3744
8,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.25,0.6904108616416211,0.4955947136563877,1514.125954913,0.48504273504273504,1816,916,900,45,0,45,0.8434622467771639,3703.5742961759997,2189.4483412629997,1.0,4,1.0,39,3744
9,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.275,0.6904108616416211,0.4801152737752161,1488.5433356857502,0.4634081196581197,1735,902,833,46,1,45,0.8305709023941068,3515.3860098269997,2026.84267414125,0.9782608695652174,4,1.0,39,3744
10,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.3,0.6904108616416211,0.4641555285540705,1452.09906992525,0.43963675213675213,1646,882,764,44,1,43,0.8121546961325967,3286.0949113634997,1833.99584143825,0.9772727272727273,4,1.0,39,3744
11,validation_only,all_overlapping_rolling_forecasts,non_overlapping_midnight_96_step_horizons,0.0,0.0,1.0,1,0.325,0.6904108616416211,0.44557606619987267,1436.080013455,0.41960470085470086,1571,871,700,43,1,42,0.8020257826887661,3077.6650800859998,1641.5850666309998,0.9767441860465116,4,1.0,39,3744
