model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,safe_shiftable_load_opportunity_kwh,gross_shiftable_load_opportunity_kwh,raw_recommended_controllable_kwh,conflict_controllable_kwh,available_empty_controllable_kwh,safe_energy_capture_rate,safe_recommended_intervals,split,daily_anchor_count,pareto_frontier
DLinear,test_daily_threshold_sweep,0.95,4,0.0084786821705426,0.1142857142857142,0.0013418316001341,0.972972972972973,0.8857142857142857,0.027027027027027,35,4,79.2219009399414,99.91618347167967,99.91618347167967,20.69428443908691,2296.60400390625,0.0344952376662212,31,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.925,4,0.0220445736434108,0.3296703296703296,0.0100637370010063,0.946817785527463,0.6703296703296703,0.053182214472537,91,30,107.17341613769533,211.8117218017578,211.8117218017578,104.63832092285156,2296.60400390625,0.0466660407956295,61,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.65,4,0.1969476744186046,0.3960639606396064,0.1080174438108017,0.5719267654751525,0.6039360393603936,0.4280732345248474,813,322,1139.629150390625,2243.68994140625,2243.68994140625,1104.0609130859375,2296.60400390625,0.4962236190707024,491,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.6,4,0.2248062015503876,0.4040948275862069,0.1257967125125796,0.5178727114210985,0.5959051724137931,0.4821272885789014,928,375,1280.98681640625,2499.559814453125,2499.559814453125,1218.572998046875,2296.60400390625,0.5577743547548658,553,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.55,4,0.2550872093023256,0.4140550807217474,0.1462596444146259,0.4620749782040104,0.5859449192782527,0.5379250217959896,1053,436,1357.913330078125,2722.221435546875,2722.221435546875,1364.30810546875,2296.60400390625,0.5912701222189267,617,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.525,4,0.2657461240310077,0.4147675478577939,0.1526333445152633,0.4402789886660854,0.585232452142206,0.5597210113339146,1097,455,1378.411376953125,2789.65234375,2789.65234375,1411.240966796875,2296.60400390625,0.6001954950041938,642,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.5,4,0.2795542635658914,0.4194107452339688,0.1623616236162361,0.4158674803836094,0.5805892547660312,0.5841325196163906,1154,484,1439.0135498046875,2903.3203125,2903.3203125,1464.306884765625,2296.60400390625,0.6265832278255619,670,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.475,4,0.2890019379844961,0.4199497066219614,0.1680644079168064,0.3966870095902354,0.5800502933780386,0.6033129904097646,1193,501,1456.0750732421875,2948.77880859375,2948.77880859375,1492.70361328125,2296.60400390625,0.6340122505950425,692,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.45,4,0.3020833333333333,0.4322373696872494,0.1808118081180811,0.3827375762859634,0.5677626303127506,0.6172624237140366,1247,539,1485.507080078125,3097.02978515625,3097.02978515625,1611.5224609375,2296.60400390625,0.6468276975706104,708,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.425,4,0.313953488372093,0.4382716049382716,0.190540087219054,0.3653007846556234,0.5617283950617284,0.6346992153443767,1296,568,1514.638427734375,3221.515869140625,3221.515869140625,1706.8773193359375,2296.60400390625,0.659512229865556,728,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.4,4,0.3316375968992248,0.4587289992695398,0.2106675612210667,0.3539668700959023,0.5412710007304602,0.6460331299040977,1369,628,1526.8946533203125,3375.7060546875,3375.7060546875,1848.811279296875,2296.60400390625,0.6648489033038549,741,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.375,4,0.3730620155038759,0.5045454545454545,0.2606507883260651,0.3347863993025283,0.4954545454545455,0.6652136006974717,1540,777,1568.0096435546875,3935.164306640625,3935.164306640625,2367.15478515625,2296.60400390625,0.6827514194383053,763,test_daily,43,True
