feature,missing_before_fill
wifi_south_total,0.815696815961837
wifi_south_mean,0.815696815961837
mels_S,0.08083140877598152
lig_S,0.08033922689584674
hvac_S,0.08033922689584674
ele_south_total,0.08030136675122099
temp_interior_mean,0.005565441259985613
relative_humidity_set_1,0.0
solar_radiation_set_1,0.0
dew_point_temperature_set_1d,0.0
air_temp_set_2,0.0
air_temp_set_1,0.0
hour_sin,0.0
hour_cos,0.0
dow_sin,0.0
dow_cos,0.0
month_sin,0.0
month_cos,0.0
is_weekend,0.0
is_business_hour,0.0
is_holiday,0.0
