model,positive_class,recall_empty,precision_empty,f1_empty,auroc_empty,auprc_empty,brier_empty,log_loss_empty,horizon_bucket
Historical average,empty,0.8004018264840183,0.7261068398727466,0.7614463693072232,0.925374138265808,0.8484831556252671,0.09787439554929733,0.32589909221593727,0-6h
Historical average,empty,0.8012313104661389,0.726475279106858,0.7620242576327896,0.9259279295849058,0.8496594589023478,0.09737294167280197,0.32449075792928467,6-12h
Historical average,empty,0.8012313104661389,0.726475279106858,0.7620242576327896,0.9259354480366496,0.8496620518303453,0.09737148135900497,0.3244441961681361,12-18h
Historical average,empty,0.8031443999559196,0.726475279106858,0.7628883965177341,0.9275460887813364,0.8508641904467895,0.09679917991161346,0.320147168338848,18-24h
LightGBM,empty,0.7695707762557078,0.7976902688375616,0.7833782653156084,0.938586161615625,0.8571416221003709,0.08632061823195625,0.2832702865874813,0-6h
LightGBM,empty,0.7643652887716212,0.7663029501451192,0.7653328930229145,0.9308536705245407,0.8410591152324863,0.09358600181778834,0.30113359588105215,6-12h
LightGBM,empty,0.7469950161243037,0.7550188902881695,0.7509855211288362,0.9218439414461465,0.8258364893120196,0.10077240085919159,0.3208755106104837,12-18h
LightGBM,empty,0.7561620688388495,0.7272052849118592,0.741401044480461,0.9242507824243874,0.828428007401113,0.10172472115525946,0.3179601987348938,18-24h
Random forest,empty,0.8206027397260274,0.8209626137484924,0.820782637290365,0.947057198972801,0.8673728845211037,0.08373271132124772,0.2831437354997169,0-6h
Random forest,empty,0.8074245089416593,0.7534195048556969,0.77948772376707,0.930542513112718,0.8346645529824548,0.09537189139654514,0.31189055218860656,6-12h
Random forest,empty,0.7827982996188801,0.7212898868816479,0.7507864260232325,0.9208847115227253,0.8171742129851833,0.10431835560281943,0.333174054160695,12-18h
Random forest,empty,0.7967894794842596,0.7146952224052718,0.7535129314088201,0.9239003105057556,0.8166526405545753,0.10528719902593964,0.3360170282314207,18-24h
DLinear,empty,0.78524200913242,0.6595281195348695,0.7169156883671292,0.880557849710029,0.7094906385474609,0.13676689565181732,0.4429315312198853,0-6h
DLinear,empty,0.6759014951627089,0.5498449797281183,0.6063913729615992,0.7888318700210231,0.5334001918605212,0.1863042563199997,0.5641354978299329,6-12h
DLinear,empty,0.6012899442978599,0.5436352793055463,0.5710109622411693,0.7308250474255358,0.5240542830986681,0.2000369429588318,0.5922227290159175,12-18h
DLinear,empty,0.600007346728869,0.5485626007522837,0.5731328619800348,0.7258841823329878,0.5879900092974994,0.2014921009540558,0.5937353903212496,18-24h
Transformer,empty,0.5905388127853881,0.7351189122822973,0.6549446987805372,0.9079884283071318,0.7671645435342415,0.1117110401391983,0.345809285517664,0-6h
Transformer,empty,0.6034887129873937,0.7202904255784455,0.656736655300991,0.9020706288634035,0.7621460280423491,0.11406060308218002,0.351642525368285,6-12h
Transformer,empty,0.5995675754910583,0.7162369215952371,0.6527298477987672,0.8997588253188655,0.7625558049753423,0.11497741937637329,0.35485813020383594,12-18h
Transformer,empty,0.6153987437093634,0.7299464075639406,0.6677960696775223,0.9042542387084331,0.7681192497099805,0.11383429169654846,0.35149191859231627,18-24h
