model,horizon_bucket,empty_auprc,empty_f1,empty_precision,empty_recall,occupancy_conflict_rate,conflict_threshold_policy
Historical average,0-6 hours,0.8484831556252671,0.7614463693072232,0.7261068398727466,0.8004018264840183,0.0,10% validation-selected threshold
Historical average,6-12 hours,0.8496594589023478,0.7620242576327896,0.726475279106858,0.8012313104661389,0.0,10% validation-selected threshold
Historical average,12-18 hours,0.8496620518303453,0.7620242576327896,0.726475279106858,0.8012313104661389,0.0,10% validation-selected threshold
Historical average,18-24 hours,0.8508641904467895,0.7628883965177341,0.726475279106858,0.8031443999559196,0.0,10% validation-selected threshold
LightGBM,0-6 hours,0.8571416221003709,0.7833782653156084,0.7976902688375616,0.7695707762557078,0.04255918827508456,10% validation-selected threshold
LightGBM,6-12 hours,0.8410591152324863,0.7653328930229145,0.7663029501451192,0.7643652887716212,0.03851827569250942,10% validation-selected threshold
LightGBM,12-18 hours,0.8258364893120196,0.7509855211288362,0.7550188902881695,0.7469950161243037,0.0538803000153069,10% validation-selected threshold
LightGBM,18-24 hours,0.828428007401113,0.741401044480461,0.7272052849118592,0.7561620688388495,0.05865203224146802,10% validation-selected threshold
Random forest,0-6 hours,0.8673728845211037,0.820782637290365,0.8209626137484924,0.8206027397260274,0.05371502090704407,10% validation-selected threshold
Random forest,6-12 hours,0.8346645529824548,0.77948772376707,0.7534195048556969,0.8074245089416593,0.04161490683229813,10% validation-selected threshold
Random forest,12-18 hours,0.8171742129851833,0.7507864260232325,0.7212898868816479,0.7827982996188801,0.04405784003615002,10% validation-selected threshold
Random forest,18-24 hours,0.8166526405545753,0.7535129314088201,0.7146952224052718,0.7967894794842596,0.014582686937635743,10% validation-selected threshold
Transformer,0-6 hours,0.7671645435342415,0.6549446987805372,0.7351189122822973,0.5905388127853881,0.09747899159663866,10% validation-selected threshold
Transformer,6-12 hours,0.7621460280423491,0.656736655300991,0.7202904255784455,0.6034887129873937,1.0,10% validation-selected threshold
Transformer,12-18 hours,0.7625558049753423,0.6527298477987672,0.7162369215952371,0.5995675754910583,0.0,10% validation-selected threshold
Transformer,18-24 hours,0.7681192497099805,0.6677960696775223,0.7299464075639406,0.6153987437093634,0.0,10% validation-selected threshold
DLinear,0-6 hours,0.7094906385474609,0.7169156883671292,0.6595281195348695,0.78524200913242,0.23459447213411871,10% validation-selected threshold
DLinear,6-12 hours,0.5334001918605212,0.6063913729615992,0.5498449797281183,0.6759014951627089,0.5219750406945198,10% validation-selected threshold
DLinear,12-18 hours,0.5240542830986681,0.5710109622411693,0.5436352793055463,0.6012899442978599,0.10666666666666667,10% validation-selected threshold
DLinear,18-24 hours,0.5879900092974994,0.5731328619800348,0.5485626007522837,0.600007346728869,0.0967741935483871,10% validation-selected threshold
