historical_average_weight,lightgbm_weight,transformer_weight,validation_auprc_empty,grid_step,selection_split,validation_rank,selected_by_validation
0.15,0.6,0.25,0.7286379574839047,0.05,validation_all_overlapping_forecasts,1,True
0.1,0.65,0.25,0.7286055364077593,0.05,validation_all_overlapping_forecasts,2,False
0.1,0.7,0.2,0.7285208237093252,0.05,validation_all_overlapping_forecasts,3,False
0.15,0.65,0.2,0.72834913527364,0.05,validation_all_overlapping_forecasts,4,False
0.15,0.55,0.3,0.728346901466442,0.05,validation_all_overlapping_forecasts,5,False
0.2,0.55,0.25,0.7283062743440939,0.05,validation_all_overlapping_forecasts,6,False
0.05,0.75,0.2,0.7282716562410371,0.05,validation_all_overlapping_forecasts,7,False
0.2,0.5,0.3,0.7282206200650194,0.05,validation_all_overlapping_forecasts,8,False
0.1,0.6,0.3,0.728064657753583,0.05,validation_all_overlapping_forecasts,9,False
0.05,0.7,0.25,0.7280159132252146,0.05,validation_all_overlapping_forecasts,10,False
0.05,0.8,0.15,0.727872284555479,0.05,validation_all_overlapping_forecasts,11,False
0.2,0.6,0.2,0.7278248574522974,0.05,validation_all_overlapping_forecasts,12,False
0.1,0.75,0.15,0.7278179361089925,0.05,validation_all_overlapping_forecasts,13,False
0.25,0.45,0.3,0.7278145337686336,0.05,validation_all_overlapping_forecasts,14,False
0.25,0.5,0.25,0.7277081219088868,0.05,validation_all_overlapping_forecasts,15,False
0.2,0.45,0.35,0.7275482821480088,0.05,validation_all_overlapping_forecasts,16,False
0.15,0.5,0.35,0.7274816423992968,0.05,validation_all_overlapping_forecasts,17,False
0.15,0.7,0.15,0.7274538896602796,0.05,validation_all_overlapping_forecasts,18,False
0.25,0.4,0.35,0.7272831605468827,0.05,validation_all_overlapping_forecasts,19,False
0.05,0.65,0.3,0.727161136597146,0.05,validation_all_overlapping_forecasts,20,False
0.3,0.4,0.3,0.7271184050828224,0.05,validation_all_overlapping_forecasts,21,False
0.0,0.85,0.15,0.7271136702053017,0.05,validation_all_overlapping_forecasts,22,False
0.0,0.8,0.2,0.7270404940976347,0.05,validation_all_overlapping_forecasts,23,False
0.25,0.55,0.2,0.7270322296952929,0.05,validation_all_overlapping_forecasts,24,False
0.1,0.55,0.35,0.7269856336085514,0.05,validation_all_overlapping_forecasts,25,False
0.05,0.85,0.1,0.7268639137701534,0.05,validation_all_overlapping_forecasts,26,False
0.3,0.45,0.25,0.7268610066276306,0.05,validation_all_overlapping_forecasts,27,False
0.2,0.65,0.15,0.7267695118797527,0.05,validation_all_overlapping_forecasts,28,False
0.3,0.35,0.35,0.7267298106279101,0.05,validation_all_overlapping_forecasts,29,False
0.1,0.8,0.1,0.7265687420628344,0.05,validation_all_overlapping_forecasts,30,False
0.0,0.9,0.1,0.7264730606348252,0.05,validation_all_overlapping_forecasts,31,False
0.0,0.75,0.25,0.7263959566333996,0.05,validation_all_overlapping_forecasts,32,False
0.2,0.4,0.4,0.7263295000130389,0.05,validation_all_overlapping_forecasts,33,False
0.35,0.35,0.3,0.7261872812716598,0.05,validation_all_overlapping_forecasts,34,False
0.25,0.35,0.4,0.7261726966135646,0.05,validation_all_overlapping_forecasts,35,False
0.15,0.45,0.4,0.7261366233731716,0.05,validation_all_overlapping_forecasts,36,False
0.3,0.5,0.2,0.7260540474534795,0.05,validation_all_overlapping_forecasts,37,False
0.15,0.75,0.1,0.7259930844112239,0.05,validation_all_overlapping_forecasts,38,False
0.05,0.6,0.35,0.7259314895696631,0.05,validation_all_overlapping_forecasts,39,False
0.35,0.3,0.35,0.7259041120052294,0.05,validation_all_overlapping_forecasts,40,False
0.25,0.6,0.15,0.7258386970501212,0.05,validation_all_overlapping_forecasts,41,False
0.35,0.4,0.25,0.7257820202891586,0.05,validation_all_overlapping_forecasts,42,False
0.3,0.3,0.4,0.72566421753651,0.05,validation_all_overlapping_forecasts,43,False
0.1,0.5,0.4,0.7255736126165323,0.05,validation_all_overlapping_forecasts,44,False
0.0,0.7,0.3,0.725350543121394,0.05,validation_all_overlapping_forecasts,45,False
0.05,0.9,0.05,0.7252712011868104,0.05,validation_all_overlapping_forecasts,46,False
0.2,0.7,0.1,0.7251793993795705,0.05,validation_all_overlapping_forecasts,47,False
0.0,0.95,0.05,0.7251207083213067,0.05,validation_all_overlapping_forecasts,48,False
0.4,0.3,0.3,0.7248913603015792,0.05,validation_all_overlapping_forecasts,49,False
0.35,0.25,0.4,0.7248885391011717,0.05,validation_all_overlapping_forecasts,50,False
0.1,0.85,0.05,0.7248290377399143,0.05,validation_all_overlapping_forecasts,51,False
0.35,0.45,0.2,0.7248264738043797,0.05,validation_all_overlapping_forecasts,52,False
0.4,0.25,0.35,0.724748117747169,0.05,validation_all_overlapping_forecasts,53,False
0.3,0.55,0.15,0.7247255390315,0.05,validation_all_overlapping_forecasts,54,False
0.2,0.35,0.45,0.7246444638785168,0.05,validation_all_overlapping_forecasts,55,False
0.05,0.55,0.4,0.7245041929054891,0.05,validation_all_overlapping_forecasts,56,False
0.25,0.3,0.45,0.7244906638250415,0.05,validation_all_overlapping_forecasts,57,False
0.15,0.4,0.45,0.7244875082425918,0.05,validation_all_overlapping_forecasts,58,False
0.4,0.35,0.25,0.7244041212737882,0.05,validation_all_overlapping_forecasts,59,False
0.25,0.65,0.1,0.7241975551466729,0.05,validation_all_overlapping_forecasts,60,False
0.15,0.8,0.05,0.7241378323521572,0.05,validation_all_overlapping_forecasts,61,False
0.0,0.65,0.35,0.7240801534873514,0.05,validation_all_overlapping_forecasts,62,False
0.3,0.25,0.45,0.7240247953952074,0.05,validation_all_overlapping_forecasts,63,False
0.1,0.45,0.45,0.7239577623482507,0.05,validation_all_overlapping_forecasts,64,False
0.4,0.2,0.4,0.7239183752391021,0.05,validation_all_overlapping_forecasts,65,False
0.35,0.5,0.15,0.7234171479920504,0.05,validation_all_overlapping_forecasts,66,False
0.4,0.4,0.2,0.7233498430367544,0.05,validation_all_overlapping_forecasts,67,False
0.45,0.2,0.35,0.7233361774711986,0.05,validation_all_overlapping_forecasts,68,False
0.35,0.2,0.45,0.7233213985612741,0.05,validation_all_overlapping_forecasts,69,False
0.2,0.75,0.05,0.7232825109463633,0.05,validation_all_overlapping_forecasts,70,False
0.45,0.25,0.3,0.7232248094092556,0.05,validation_all_overlapping_forecasts,71,False
0.3,0.6,0.1,0.723097641132447,0.05,validation_all_overlapping_forecasts,72,False
0.05,0.5,0.45,0.7229527446747099,0.05,validation_all_overlapping_forecasts,73,False
0.45,0.15,0.4,0.7227937938848387,0.05,validation_all_overlapping_forecasts,74,False
0.0,1.0,0.0,0.722791498694545,0.05,validation_all_overlapping_forecasts,75,False
0.05,0.95,0.0,0.7227896436928221,0.05,validation_all_overlapping_forecasts,76,False
0.0,0.6,0.4,0.7227332106215869,0.05,validation_all_overlapping_forecasts,77,False
0.45,0.3,0.25,0.7226902688652502,0.05,validation_all_overlapping_forecasts,78,False
0.2,0.3,0.5,0.7226558326335131,0.05,validation_all_overlapping_forecasts,79,False
0.15,0.35,0.5,0.722615037811337,0.05,validation_all_overlapping_forecasts,80,False
0.4,0.15,0.45,0.7225241347349399,0.05,validation_all_overlapping_forecasts,81,False
0.25,0.25,0.5,0.7224194146456641,0.05,validation_all_overlapping_forecasts,82,False
0.25,0.7,0.05,0.7223550969047217,0.05,validation_all_overlapping_forecasts,83,False
0.1,0.9,0.0,0.7222538130483014,0.05,validation_all_overlapping_forecasts,84,False
0.1,0.4,0.5,0.7221841320731015,0.05,validation_all_overlapping_forecasts,85,False
0.3,0.2,0.5,0.7219592767949801,0.05,validation_all_overlapping_forecasts,86,False
0.4,0.45,0.15,0.7219457266574133,0.05,validation_all_overlapping_forecasts,87,False
0.35,0.55,0.1,0.7218896913938756,0.05,validation_all_overlapping_forecasts,88,False
0.5,0.15,0.35,0.721832964269105,0.05,validation_all_overlapping_forecasts,89,False
0.45,0.35,0.2,0.7216037927901153,0.05,validation_all_overlapping_forecasts,90,False
0.5,0.2,0.3,0.7215405772916315,0.05,validation_all_overlapping_forecasts,91,False
0.15,0.85,0.0,0.7215169767192743,0.05,validation_all_overlapping_forecasts,92,False
0.45,0.1,0.45,0.7214017917024189,0.05,validation_all_overlapping_forecasts,93,False
0.35,0.15,0.5,0.7213630933488553,0.05,validation_all_overlapping_forecasts,94,False
0.3,0.65,0.05,0.7213546776362559,0.05,validation_all_overlapping_forecasts,95,False
0.0,0.55,0.45,0.7213176418847627,0.05,validation_all_overlapping_forecasts,96,False
0.05,0.45,0.5,0.7212981865600568,0.05,validation_all_overlapping_forecasts,97,False
0.5,0.1,0.4,0.7212925619515133,0.05,validation_all_overlapping_forecasts,98,False
0.5,0.25,0.25,0.720746056944988,0.05,validation_all_overlapping_forecasts,99,False
0.2,0.8,0.0,0.7206880196152458,0.05,validation_all_overlapping_forecasts,100,False
0.15,0.3,0.55,0.7205957311930198,0.05,validation_all_overlapping_forecasts,101,False
0.2,0.25,0.55,0.7205254699031778,0.05,validation_all_overlapping_forecasts,102,False
0.4,0.5,0.1,0.7205195316491364,0.05,validation_all_overlapping_forecasts,103,False
0.4,0.1,0.5,0.7204992019102987,0.05,validation_all_overlapping_forecasts,104,False
0.1,0.35,0.55,0.720290131221253,0.05,validation_all_overlapping_forecasts,105,False
0.45,0.4,0.15,0.7202760181547918,0.05,validation_all_overlapping_forecasts,106,False
0.35,0.6,0.05,0.7202014233370908,0.05,validation_all_overlapping_forecasts,107,False
0.25,0.2,0.55,0.7201917922413182,0.05,validation_all_overlapping_forecasts,108,False
0.55,0.1,0.35,0.7199421588008081,0.05,validation_all_overlapping_forecasts,109,False
0.25,0.75,0.0,0.7197847328970386,0.05,validation_all_overlapping_forecasts,110,False
0.0,0.5,0.5,0.7197834211776241,0.05,validation_all_overlapping_forecasts,111,False
