bin,mean_predicted_probability,observed_empty_fraction,count,model,absolute_calibration_error
0,0.0,0.009303164622203897,38804,Historical Average,0.009303164622203897
1,0.032592916815838986,0.01922531763008015,38803,Historical Average,0.013367599185758836
2,0.03863427814455068,0.0384506352601603,38803,Historical Average,0.00018364288439037812
3,0.07611970332943328,0.02038502177666675,38803,Historical Average,0.055734681552766535
4,0.12321196397309486,0.03958456820348942,38803,Historical Average,0.08362739576960544
5,0.25379025159755686,0.14766899466536093,38803,Historical Average,0.10612125693219593
6,0.44423254770713605,0.3408241630801742,38803,Historical Average,0.10340838462696184
7,0.6044948839393861,0.4578769682756488,38803,Historical Average,0.14661791566373733
8,0.7627801233384017,0.7876195139551065,38803,Historical Average,0.024839390616704815
9,0.9124631284929389,0.9525822080197918,38804,Historical Average,0.0401190795268529
0,0.0014827446793300308,0.0,38804,LightGBM,0.0014827446793300308
1,0.004111776546038429,0.0,38803,LightGBM,0.004111776546038429
2,0.013217832151634773,0.021029301858103755,38803,LightGBM,0.007811469706468982
3,0.0345918628914019,0.047058217148158644,38803,LightGBM,0.012466354256756747
4,0.08389344599756765,0.046233538643919284,38803,LightGBM,0.03765990735364837
5,0.16899435523633355,0.14960183490967194,38803,LightGBM,0.01939252032666161
6,0.3274322628027777,0.32561915315826095,38803,LightGBM,0.0018131096445167527
7,0.5911247678652912,0.5363502821946756,38803,LightGBM,0.0547744856706156
8,0.8520043273078433,0.7506893796871376,38803,LightGBM,0.1013149476207057
9,0.9582348787533972,0.936939490774147,38804,LightGBM,0.021295387979250235
0,0.004086840460849434,0.0,38804,Hybrid Seasonal-GBDT-Transformer,0.004086840460849434
1,0.012491534074221546,0.003917222895136974,38803,Hybrid Seasonal-GBDT-Transformer,0.008574311179084571
2,0.027510534090080325,0.01693168054016442,38803,Hybrid Seasonal-GBDT-Transformer,0.010578853549915904
3,0.054463940107366514,0.03824446563410046,38803,Hybrid Seasonal-GBDT-Transformer,0.016219474473266056
4,0.10897242339966716,0.04352756230188388,38803,Hybrid Seasonal-GBDT-Transformer,0.06544486109778327
5,0.2094242235147802,0.1176713140736541,38803,Hybrid Seasonal-GBDT-Transformer,0.09175290944112612
6,0.3529700441985685,0.35244697574929773,38803,Hybrid Seasonal-GBDT-Transformer,0.0005230684492707471
7,0.5619557268789815,0.5510140968481818,38803,Hybrid Seasonal-GBDT-Transformer,0.010941630030799732
8,0.7623320921572344,0.756565214029843,38803,Hybrid Seasonal-GBDT-Transformer,0.005766878127391406
9,0.89370920766326,0.9332027626017936,38804,Hybrid Seasonal-GBDT-Transformer,0.03949355493853357
