transformer_weight,historical_average_weight,validation_auprc_empty,selection_split
0.0,1.0,0.6700951283624541,validation_all_overlapping_forecasts
0.01,0.99,0.6868629779771875,validation_all_overlapping_forecasts
0.02,0.98,0.6867534748314735,validation_all_overlapping_forecasts
0.03,0.97,0.6866495547539502,validation_all_overlapping_forecasts
0.04,0.96,0.6867029253931444,validation_all_overlapping_forecasts
0.05,0.95,0.6874496936300339,validation_all_overlapping_forecasts
0.06,0.94,0.6880556935118622,validation_all_overlapping_forecasts
0.07,0.9299999999999999,0.6887995191451228,validation_all_overlapping_forecasts
0.08,0.92,0.6896766136243867,validation_all_overlapping_forecasts
0.09,0.91,0.6908583362227978,validation_all_overlapping_forecasts
0.1,0.9,0.6920585279743051,validation_all_overlapping_forecasts
0.11,0.89,0.6931948079539741,validation_all_overlapping_forecasts
0.12,0.88,0.6943131796554123,validation_all_overlapping_forecasts
0.13,0.87,0.6954322417778734,validation_all_overlapping_forecasts
0.14,0.86,0.6964596556634131,validation_all_overlapping_forecasts
0.15,0.85,0.6974267380470022,validation_all_overlapping_forecasts
0.16,0.84,0.6984206785118713,validation_all_overlapping_forecasts
0.17,0.83,0.6994394290776158,validation_all_overlapping_forecasts
0.18,0.8200000000000001,0.7004821132868253,validation_all_overlapping_forecasts
0.19,0.81,0.7014852169578841,validation_all_overlapping_forecasts
0.2,0.8,0.7024433238135265,validation_all_overlapping_forecasts
0.21,0.79,0.7033740058776428,validation_all_overlapping_forecasts
0.22,0.78,0.7042918404415196,validation_all_overlapping_forecasts
0.23,0.77,0.7051839414723988,validation_all_overlapping_forecasts
0.24,0.76,0.7060658765922406,validation_all_overlapping_forecasts
0.25,0.75,0.7069187498690005,validation_all_overlapping_forecasts
0.26,0.74,0.707749125581056,validation_all_overlapping_forecasts
0.27,0.73,0.7085572963759852,validation_all_overlapping_forecasts
0.28,0.72,0.7093208643758167,validation_all_overlapping_forecasts
0.29,0.71,0.710052048080617,validation_all_overlapping_forecasts
0.3,0.7,0.7107526677224083,validation_all_overlapping_forecasts
0.31,0.69,0.7114080152170961,validation_all_overlapping_forecasts
0.32,0.6799999999999999,0.712030179563423,validation_all_overlapping_forecasts
0.33,0.6699999999999999,0.7126285509381372,validation_all_overlapping_forecasts
0.34,0.6599999999999999,0.7132070413875713,validation_all_overlapping_forecasts
0.35,0.65,0.71375348573321,validation_all_overlapping_forecasts
0.36,0.64,0.7142669352606228,validation_all_overlapping_forecasts
0.37,0.63,0.7147440011315869,validation_all_overlapping_forecasts
0.38,0.62,0.7151673078022363,validation_all_overlapping_forecasts
0.39,0.61,0.7155443797293052,validation_all_overlapping_forecasts
0.4,0.6,0.7158650721560676,validation_all_overlapping_forecasts
0.41,0.5900000000000001,0.7161290765085166,validation_all_overlapping_forecasts
