split,model,risk_delta,selected_threshold,minimum_window_steps,minimum_window_hours,daily_schedules,total_intervals,recommended_intervals,safe_intervals,conflict_intervals,recommendation_coverage,occupancy_conflict_rate,empty_recall,gross_opportunity_kwh,safe_opportunity_kwh,conflict_opportunity_kwh,opportunity_per_day_kwh,recommended_windows,safe_windows,conflict_windows,window_conflict_rate,average_recommended_window_hours,total_recommended_window_hours,average_safe_window_hours,threshold_selected_with_minimum_window_hours
test_midnight_daily_forecasts,Historical Average,0.1,0.95,1,0.25,43,4128,114,114,0,0.027616279069767442,0.0,0.0993897122929381,170.45345724675002,170.45345724675002,0.0,3.964033889459303,42,42,0,0.0,0.6785714285714286,28.5,0.6785714285714286,1.0
test_midnight_daily_forecasts,Historical Average,0.1,0.95,2,0.5,43,4128,102,102,0,0.024709302325581394,0.0,0.08892763731473409,162.6315909995,162.6315909995,0.0,3.7821300232441857,30,30,0,0.0,0.85,25.5,0.85,1.0
test_midnight_daily_forecasts,Historical Average,0.1,0.95,4,1.0,43,4128,66,66,0,0.015988372093023256,0.0,0.05754141238012206,94.623047827,94.623047827,0.0,2.200535995976744,12,12,0,0.0,1.375,16.5,1.375,1.0
test_midnight_daily_forecasts,Historical Average,0.1,0.95,8,2.0,43,4128,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0
test_midnight_daily_forecasts,Historical Average,0.1,0.95,16,4.0,43,4128,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0
test_midnight_daily_forecasts,LightGBM,0.1,0.95,1,0.25,43,4128,275,264,11,0.06661821705426356,0.04,0.23016564952048824,540.84201500825,496.88692710725,43.955087901,11.555509932726745,23,20,3,0.13043478260869565,2.989130434782609,68.75,2.525,1.0
test_midnight_daily_forecasts,LightGBM,0.1,0.95,2,0.5,43,4128,275,264,11,0.06661821705426356,0.04,0.23016564952048824,540.84201500825,496.88692710725,43.955087901,11.555509932726745,23,20,3,0.13043478260869565,2.989130434782609,68.75,2.525,1.0
test_midnight_daily_forecasts,LightGBM,0.1,0.95,4,1.0,43,4128,265,254,11,0.06419573643410853,0.04150943396226415,0.22144725370531823,537.8782430785,493.9231551775,43.955087901,11.486585004127907,19,16,3,0.15789473684210525,3.486842105263158,66.25,3.0,1.0
test_midnight_daily_forecasts,LightGBM,0.1,0.95,8,2.0,43,4128,244,235,9,0.05910852713178295,0.036885245901639344,0.2048823016564952,524.5702971717501,482.74958427075,41.820712901,11.226734517924418,15,13,2,0.13333333333333333,4.066666666666666,61.0,3.3846153846153846,1.0
test_midnight_daily_forecasts,LightGBM,0.1,0.95,16,4.0,43,4128,135,133,2,0.032703488372093026,0.014814814814814815,0.11595466434176112,319.73940752450005,313.23122770025,6.50817982425,7.284447155819767,5,4,1,0.2,6.75,33.75,4.6875,1.0
test_midnight_daily_forecasts,Random Forest,0.1,0.925,1,0.25,43,4128,193,183,10,0.04675387596899225,0.05181347150259067,0.15954664341761116,404.75228803625,361.9539172405,42.79837079575,8.417532959081395,13,10,3,0.23076923076923078,3.7115384615384617,48.25,2.275,1.0
test_midnight_daily_forecasts,Random Forest,0.1,0.925,2,0.5,43,4128,191,181,10,0.04626937984496124,0.05235602094240838,0.15780296425457715,403.81728803625,361.0189172405,42.79837079575,8.395788773034884,11,8,3,0.2727272727272727,4.340909090909091,47.75,2.78125,1.0
test_midnight_daily_forecasts,Random Forest,0.1,0.925,4,1.0,43,4128,188,178,10,0.045542635658914726,0.05319148936170213,0.15518744551002617,402.338954703,359.54058390725004,42.79837079575,8.361408928075582,10,7,3,0.3,4.7,47.0,3.0714285714285716,1.0
test_midnight_daily_forecasts,Random Forest,0.1,0.925,8,2.0,43,4128,179,169,10,0.043362403100775194,0.055865921787709494,0.14734088927637315,401.895204703,359.09683390725,42.79837079575,8.351089160633721,8,5,3,0.375,5.59375,44.75,3.85,1.0
test_midnight_daily_forecasts,Random Forest,0.1,0.925,16,4.0,43,4128,138,135,3,0.03343023255813953,0.021739130434782608,0.11769834350479512,329.4249663905,321.9391286715,7.485837719,7.486956480732558,4,2,2,0.5,8.625,34.5,5.5,1.0
test_midnight_daily_forecasts,Original Transformer,0.1,0.9,1,0.25,43,4128,31,28,3,0.0075096899224806205,0.0967741935483871,0.024411508282476024,101.53218494,97.43921710375,4.092967836250001,2.266028304738372,2,1,1,0.5,3.875,7.75,3.0,1.0
test_midnight_daily_forecasts,Original Transformer,0.1,0.9,2,0.5,43,4128,31,28,3,0.0075096899224806205,0.0967741935483871,0.024411508282476024,101.53218494,97.43921710375,4.092967836250001,2.266028304738372,2,1,1,0.5,3.875,7.75,3.0,1.0
test_midnight_daily_forecasts,Original Transformer,0.1,0.9,4,1.0,43,4128,31,28,3,0.0075096899224806205,0.0967741935483871,0.024411508282476024,101.53218494,97.43921710375,4.092967836250001,2.266028304738372,2,1,1,0.5,3.875,7.75,3.0,1.0
test_midnight_daily_forecasts,Original Transformer,0.1,0.9,8,2.0,43,4128,31,28,3,0.0075096899224806205,0.0967741935483871,0.024411508282476024,101.53218494,97.43921710375,4.092967836250001,2.266028304738372,2,1,1,0.5,3.875,7.75,3.0,1.0
test_midnight_daily_forecasts,Original Transformer,0.1,0.9,16,4.0,43,4128,19,16,3,0.004602713178294574,0.15789473684210525,0.013949433304272014,29.138456871000002,25.045489034750002,4.092967836250001,0.5824532333662791,1,0,1,1.0,4.75,4.75,0.0,1.0
test_midnight_daily_forecasts,DLinear,0.1,0.875,1,0.25,43,4128,161,90,71,0.039001937984496124,0.4409937888198758,0.07846556233653008,439.0558925755,186.1303424105,252.925550165,4.328612614197675,13,6,7,0.5384615384615384,3.0961538461538463,40.25,1.8333333333333333,1.0
test_midnight_daily_forecasts,DLinear,0.1,0.875,2,0.5,43,4128,155,87,68,0.0375484496124031,0.43870967741935485,0.07585004359197908,421.53109268625,185.0878424105,236.44325027575,4.304368428151163,7,3,4,0.5714285714285714,5.535714285714286,38.75,3.4166666666666665,1.0
test_midnight_daily_forecasts,DLinear,0.1,0.875,4,1.0,43,4128,155,87,68,0.0375484496124031,0.43870967741935485,0.07585004359197908,421.53109268625,185.0878424105,236.44325027575,4.304368428151163,7,3,4,0.5714285714285714,5.535714285714286,38.75,3.4166666666666665,1.0
test_midnight_daily_forecasts,DLinear,0.1,0.875,8,2.0,43,4128,155,87,68,0.0375484496124031,0.43870967741935485,0.07585004359197908,421.53109268625,185.0878424105,236.44325027575,4.304368428151163,7,3,4,0.5714285714285714,5.535714285714286,38.75,3.4166666666666665,1.0
test_midnight_daily_forecasts,DLinear,0.1,0.875,16,4.0,43,4128,130,62,68,0.031492248062015504,0.5230769230769231,0.05405405405405406,372.28973749575005,135.84648722,236.44325027575,3.159220633023256,5,1,4,0.8,6.5,32.5,4.0,1.0
test_midnight_daily_forecasts,Seasonal-Transformer Blend,0.1,0.8,1,0.25,43,4128,260,260,0,0.06298449612403101,0.0,0.22667829119442023,494.6551406975001,494.6551406975001,0.0,11.503607923197677,20,20,0,0.0,3.25,65.0,3.25,1.0
test_midnight_daily_forecasts,Seasonal-Transformer Blend,0.1,0.8,2,0.5,43,4128,258,258,0,0.0625,0.0,0.22493461203138623,490.2936129200001,490.2936129200001,0.0,11.402177044651165,18,18,0,0.0,3.5833333333333335,64.5,3.5833333333333335,1.0
test_midnight_daily_forecasts,Seasonal-Transformer Blend,0.1,0.8,4,1.0,43,4128,249,249,0,0.06031976744186047,0.0,0.21708805579773321,457.8951735925,457.8951735925,0.0,10.648724967267441,14,14,0,0.0,4.446428571428571,62.25,4.446428571428571,1.0
test_midnight_daily_forecasts,Seasonal-Transformer Blend,0.1,0.8,8,2.0,43,4128,249,249,0,0.06031976744186047,0.0,0.21708805579773321,457.8951735925,457.8951735925,0.0,10.648724967267441,14,14,0,0.0,4.446428571428571,62.25,4.446428571428571,1.0
test_midnight_daily_forecasts,Seasonal-Transformer Blend,0.1,0.8,16,4.0,43,4128,231,231,0,0.0559593023255814,0.0,0.2013949433304272,386.901168476,386.901168476,0.0,8.997701592465116,12,12,0,0.0,4.8125,57.75,4.8125,1.0
test_midnight_daily_forecasts,Hybrid Seasonal-GBDT-Transformer,0.1,0.875,1,0.25,43,4128,266,266,0,0.06443798449612403,0.0,0.23190932868352224,496.96137952649997,496.96137952649997,0.0,11.557241384337209,19,19,0,0.0,3.5,66.5,3.5,1.0
test_midnight_daily_forecasts,Hybrid Seasonal-GBDT-Transformer,0.1,0.875,2,0.5,43,4128,263,263,0,0.06371124031007752,0.0,0.22929380993897122,493.49874063749996,493.49874063749996,0.0,11.476714898546511,16,16,0,0.0,4.109375,65.75,4.109375,1.0
test_midnight_daily_forecasts,Hybrid Seasonal-GBDT-Transformer,0.1,0.875,4,1.0,43,4128,259,259,0,0.0627422480620155,0.0,0.22580645161290322,490.1463795264999,490.1463795264999,0.0,11.398753012244184,14,14,0,0.0,4.625,64.75,4.625,1.0
test_midnight_daily_forecasts,Hybrid Seasonal-GBDT-Transformer,0.1,0.875,8,2.0,43,4128,259,259,0,0.0627422480620155,0.0,0.22580645161290322,490.1463795264999,490.1463795264999,0.0,11.398753012244184,14,14,0,0.0,4.625,64.75,4.625,1.0
test_midnight_daily_forecasts,Hybrid Seasonal-GBDT-Transformer,0.1,0.875,16,4.0,43,4128,227,227,0,0.05499031007751938,0.0,0.1979075850043592,407.776875506,407.776875506,0.0,9.483183151302326,11,11,0,0.0,5.159090909090909,56.75,5.159090909090909,1.0
test_midnight_daily_forecasts,Exploratory Hybrid Balanced Tree-Deep,0.1,0.875,1,0.25,43,4128,272,268,4,0.06589147286821706,0.014705882352941176,0.23365300784655624,505.15639414275,484.52996870525,20.6264254375,11.268138807098836,21,19,2,0.09523809523809523,3.238095238095238,68.0,3.526315789473684,1.0
