date_local,occ_count_mean,occ_count_max,occupied,empty,wifi_south_total,wifi_south_mean,air_temp_set_1,air_temp_set_2,dew_point_temperature_set_1d,relative_humidity_set_1,solar_radiation_set_1,temp_interior_mean,mels_S,lig_S,hvac_S,ele_south_total,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,is_weekend,is_business_hour,is_holiday
2018-05-22 00:00:00-07:00,0.4,1.0,1.0,0.0,75.0,37.5,10.13,9.94,8.5,89.7,0.64,23.423061079545455,1.799999952,0.200000003,16.7,18.699999955,0.0,1.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
2018-05-22 00:15:00-07:00,1.0,1.0,1.0,0.0,72.0,36.0,10.03,9.85,8.51,90.4,0.89,23.45571590909091,1.600000024,0.200000003,0.0,1.800000027,0.06540312923014306,0.9978589232386035,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
2018-05-22 00:30:00-07:00,0.4666666666666667,1.0,1.0,0.0,76.5,38.25,9.98,9.78,8.51,90.7,1.0,23.443464488636362,1.399999976,0.200000003,0.0,1.599999979,0.13052619222005157,0.9914448613738104,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
2018-05-22 00:45:00-07:00,0.0,0.0,0.0,1.0,79.0,39.5,9.93,9.72,8.53,91.1,1.0,23.466400568181818,1.299999952,0.200000003,0.0,1.499999955,0.19509032201612825,0.9807852804032304,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
2018-05-22 01:00:00-07:00,0.0,0.0,0.0,1.0,89.0,44.5,9.93,9.74,8.56,91.3,1.0,23.420899147727273,1.399999976,0.200000003,0.0,1.599999979,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
2018-05-22 01:15:00-07:00,0.0,0.0,0.0,1.0,84.0,42.0,9.92,9.74,8.58,91.5,1.0,23.422272727272727,1.5,0.200000003,0.0,1.700000003,0.3214394653031616,0.9469301294951057,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
2018-05-22 01:30:00-07:00,0.0,0.0,0.0,1.0,87.0,43.5,9.97,9.74,8.65,91.6,1.0,23.37874005681818,1.299999952,0.200000003,0.0,1.499999955,0.3826834323650898,0.9238795325112867,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
2018-05-22 01:45:00-07:00,0.0,0.0,0.0,1.0,95.0,47.5,9.95,9.73,8.68,91.9,1.0,23.374332386363637,1.299999952,0.200000003,16.6,18.099999955,0.4422886902190013,0.8968727415326883,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
2018-05-22 02:00:00-07:00,0.0,0.0,0.0,1.0,115.5,57.75,9.94,9.74,8.72,92.2,0.91,23.35439346590909,1.5,0.200000003,18.39,20.090000003,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
2018-05-22 02:15:00-07:00,0.0,0.0,0.0,1.0,135.0,67.5,9.84,9.69,8.67,92.5,1.0,23.326517045454544,1.399999976,0.200000003,0.0,1.599999979,0.5555702330196022,0.8314696123025452,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
