model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,split,positive_class
Historical average,fixed_default_threshold,0.65,4,0.21375166889185582,0.26454819904226523,0.080348426822858,0.4692996046837,0.7354518009577348,0.5307003953163,76848,20330,validation,empty
LightGBM,fixed_default_threshold,0.65,4,0.26504784156653316,0.31412530171056774,0.1183014982827648,0.38630196155760255,0.6858746982894323,0.6136980384423975,95290,29933,validation,empty
Random forest,fixed_default_threshold,0.65,4,0.23033210947930574,0.30896400149742176,0.10111728973255396,0.462670309961783,0.6910359985025782,0.5373296900382171,82809,25585,validation,empty
DLinear,fixed_default_threshold,0.65,4,0.23721350689808635,0.3480881301079934,0.11732530244286092,0.47794773561696574,0.6519118698920067,0.5220522643830343,85283,29686,validation,empty
Transformer,fixed_default_threshold,0.65,4,0.1970154650645305,0.29254140136380963,0.08189374088521596,0.5294703137177573,0.7074585986361903,0.4705296862822427,70831,20721,validation,empty
Historical average,fixed_default_threshold,0.65,4,0.21414728682170542,0.14108982381823434,0.04204290355664891,0.34625460274424313,0.8589101761817657,0.6537453972557569,83096,11724,test,empty
LightGBM,fixed_default_threshold,0.65,4,0.22495051954477982,0.17991018238474935,0.05631540066987499,0.3443127484565922,0.8200898176152507,0.6556872515434078,87288,15704,test,empty
Random forest,fixed_default_threshold,0.65,4,0.2303057479795481,0.20985609739722041,0.06725286705061358,0.3532159671716709,0.7901439026027796,0.6467840328283291,89366,18754,test,empty
DLinear,fixed_default_threshold,0.65,4,0.22090703859475508,0.35682870775440684,0.10968665055332821,0.4950079689303314,0.6431712922455931,0.5049920310696686,85719,30587,test,empty
Transformer,fixed_default_threshold,0.65,4,0.1254123371268349,0.19630527700147954,0.034257579126293666,0.6417553629985161,0.8036947229985205,0.35824463700148385,48664,9553,test,empty
