model,policy,risk_delta,load_variable_used,load_type,controllability_scenario,controllable_fraction,gross_shiftable_load_kwh,safe_shiftable_load_kwh,kwh_per_day,kwh_per_safe_window,occupancy_conflict_rate,counterfactual_status
Historical average,5% max occupancy-conflict,0.05,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,94.623047827,94.623047827,2.200535995976744,7.885253985583333,0.0,"safe shiftable-load opportunity, not verified energy savings"
Historical average,5% max occupancy-conflict,0.05,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario B: 50% controllable-load assumption,0.5,47.3115239135,47.3115239135,1.100267997988372,3.9426269927916664,0.0,"safe shiftable-load opportunity, not verified energy savings"
Historical average,5% max occupancy-conflict,0.05,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,23.65576195675,23.65576195675,0.550133998994186,1.9713134963958332,0.0,"safe shiftable-load opportunity, not verified energy savings"
Historical average,10% max occupancy-conflict,0.1,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,94.623047827,94.623047827,2.200535995976744,7.885253985583333,0.0,"safe shiftable-load opportunity, not verified energy savings"
Historical average,10% max occupancy-conflict,0.1,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario B: 50% controllable-load assumption,0.5,47.3115239135,47.3115239135,1.100267997988372,3.9426269927916664,0.0,"safe shiftable-load opportunity, not verified energy savings"
Historical average,10% max occupancy-conflict,0.1,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,23.65576195675,23.65576195675,0.550133998994186,1.9713134963958332,0.0,"safe shiftable-load opportunity, not verified energy savings"
Historical average,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,1455.660781429,1254.3981083937501,29.172049032412794,38.0120638907197,0.09117647058823529,"safe shiftable-load opportunity, not verified energy savings"
Historical average,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario B: 50% controllable-load assumption,0.5,727.8303907145,627.1990541968751,14.586024516206397,19.00603194535985,0.09117647058823529,"safe shiftable-load opportunity, not verified energy savings"
Historical average,20% max occupancy-conflict,0.2,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario C: 25% controllable-load assumption,0.25,363.91519535725,313.59952709843753,7.293012258103198,9.503015972679925,0.09117647058823529,"safe shiftable-load opportunity, not verified energy savings"
LightGBM,5% max occupancy-conflict,0.05,hvac_S+lig_S,proxy controllable load: HVAC south + lighting south,Scenario A: 100% selected load controllable,1.0,537.8782430785,493.9231551775,11.486585004127907,30.87019719859375,0.04150943396226415,"safe shiftable-load opportunity, not verified energy savings"
