model,risk_delta,selected_empty_probability_threshold,validation_occupancy_conflict_rate,validation_standard_fpr,validation_safe_shiftable_load_opportunity_kwh,selection_met_constraint,selection_note
Historical average,0.05,0.95,0.08333333333333333,0.0018811136192626034,88.33663177490234,False,no validation threshold met occupancy conflict <= 5%; lowest-conflict fallback
Historical average,0.1,0.95,0.08333333333333333,0.0018811136192626034,88.33663177490234,True,max safe opportunity subject to occupancy conflict <= 10% on validation
Historical average,0.2,0.725,0.19141914191419143,0.0436418359668924,852.0040893554688,True,max safe opportunity subject to occupancy conflict <= 20% on validation
LightGBM,0.05,0.95,0.0960960960960961,0.012039127163280662,502.97003173828125,False,no validation threshold met occupancy conflict <= 5%; lowest-conflict fallback
LightGBM,0.1,0.95,0.0960960960960961,0.012039127163280662,502.97003173828125,True,max safe opportunity subject to occupancy conflict <= 10% on validation
LightGBM,0.2,0.875,0.16605166051660517,0.033860045146726865,752.6207275390625,True,max safe opportunity subject to occupancy conflict <= 20% on validation
Random forest,0.05,0.925,0.04201680672268908,0.0018811136192626034,184.36886596679688,True,max safe opportunity subject to occupancy conflict <= 5% on validation
Random forest,0.1,0.925,0.04201680672268908,0.0018811136192626034,184.36886596679688,True,max safe opportunity subject to occupancy conflict <= 10% on validation
Random forest,0.2,0.85,0.17220543806646527,0.02144469525959368,486.85650634765625,True,max safe opportunity subject to occupancy conflict <= 20% on validation
DLinear,0.05,0.925,0.0,0.0,26.585756301879883,True,max safe opportunity subject to occupancy conflict <= 5% on validation
DLinear,0.1,0.875,0.07547169811320754,0.0030097817908201654,58.160221099853516,True,max safe opportunity subject to occupancy conflict <= 10% on validation
DLinear,0.2,0.8,0.19806763285024154,0.015425131677953348,88.20567321777344,True,max safe opportunity subject to occupancy conflict <= 20% on validation
Transformer,0.05,0.9,0.02197802197802198,0.0007524454477050414,49.686798095703125,True,max safe opportunity subject to occupancy conflict <= 5% on validation
Transformer,0.1,0.9,0.02197802197802198,0.0007524454477050414,49.686798095703125,True,max safe opportunity subject to occupancy conflict <= 10% on validation
Transformer,0.2,0.85,0.1992619926199262,0.020316027088036117,220.7428741455078,True,max safe opportunity subject to occupancy conflict <= 20% on validation
