model,policy,risk_delta,min_window_length_hours,selected_threshold,test_occupancy_conflict_rate,window_precision,window_recall,recommendation_rate,safe_shiftable_load_kwh,kwh_per_day,number_of_recommended_windows,number_of_safe_windows,average_window_duration
Historical average,5% max occupancy-conflict,0.05,1.0,0.95,0.0,1.0,0.17142857142857143,0.015988372093023256,94.623047827,2.200535995976744,12,12,1.375
Historical average,5% max occupancy-conflict,0.05,2.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Historical average,5% max occupancy-conflict,0.05,4.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Historical average,10% max occupancy-conflict,0.1,1.0,0.95,0.0,1.0,0.17142857142857143,0.015988372093023256,94.623047827,2.200535995976744,12,12,1.375
Historical average,10% max occupancy-conflict,0.1,2.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Historical average,10% max occupancy-conflict,0.1,4.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Historical average,20% max occupancy-conflict,0.2,1.0,0.725,0.09117647058823529,0.6,0.7285714285714285,0.16472868217054262,1254.3981083937501,29.172049032412794,55,33,3.090909090909091
Historical average,20% max occupancy-conflict,0.2,2.0,0.725,0.06645569620253164,0.6511627906976745,0.7254901960784313,0.15310077519379844,1161.38453605375,27.008942698924418,43,28,3.6744186046511627
Historical average,20% max occupancy-conflict,0.2,4.0,0.725,0.023809523809523808,0.6666666666666666,0.5454545454545454,0.09156976744186046,615.0618858622502,14.30376478749419,12,8,7.875
LightGBM,5% max occupancy-conflict,0.05,1.0,0.95,0.04150943396226415,0.8421052631578947,0.2714285714285714,0.06419573643410853,493.9231551775,11.486585004127907,19,16,3.486842105263158
LightGBM,5% max occupancy-conflict,0.05,2.0,0.95,0.036885245901639344,0.8666666666666667,0.3137254901960784,0.05910852713178295,482.74958427075,11.226734517924418,15,13,4.066666666666666
LightGBM,5% max occupancy-conflict,0.05,4.0,0.95,0.014814814814814815,0.8,0.22727272727272727,0.032703488372093026,313.23122770025,7.284447155819767,5,4,6.75
LightGBM,10% max occupancy-conflict,0.1,1.0,0.95,0.04150943396226415,0.8421052631578947,0.2714285714285714,0.06419573643410853,493.9231551775,11.486585004127907,19,16,3.486842105263158
LightGBM,10% max occupancy-conflict,0.1,2.0,0.95,0.036885245901639344,0.8666666666666667,0.3137254901960784,0.05910852713178295,482.74958427075,11.226734517924418,15,13,4.066666666666666
LightGBM,10% max occupancy-conflict,0.1,4.0,0.95,0.014814814814814815,0.8,0.22727272727272727,0.032703488372093026,313.23122770025,7.284447155819767,5,4,6.75
LightGBM,20% max occupancy-conflict,0.2,1.0,0.875,0.0854368932038835,0.5454545454545454,0.5142857142857142,0.1247577519379845,918.45705870275,21.359466481459304,33,18,3.9015151515151514
LightGBM,20% max occupancy-conflict,0.2,2.0,0.875,0.08793456032719836,0.5,0.49019607843137253,0.1184593023255814,851.5321702040001,19.80307372567442,28,14,4.366071428571429
LightGBM,20% max occupancy-conflict,0.2,4.0,0.875,0.023121387283236993,0.6666666666666666,0.5454545454545454,0.08381782945736434,645.200805578,15.00466989716279,12,8,7.208333333333333
Random forest,5% max occupancy-conflict,0.05,1.0,0.925,0.05319148936170213,0.7,0.15714285714285714,0.045542635658914726,359.54058390725004,8.361408928075582,10,7,4.7
Random forest,5% max occupancy-conflict,0.05,2.0,0.925,0.055865921787709494,0.625,0.17647058823529413,0.043362403100775194,359.09683390725,8.351089160633721,8,5,5.59375
Random forest,5% max occupancy-conflict,0.05,4.0,0.925,0.021739130434782608,0.5,0.13636363636363635,0.03343023255813953,321.9391286715,7.486956480732558,4,2,8.625
Random forest,10% max occupancy-conflict,0.1,1.0,0.925,0.05319148936170213,0.7,0.15714285714285714,0.045542635658914726,359.54058390725004,8.361408928075582,10,7,4.7
Random forest,10% max occupancy-conflict,0.1,2.0,0.925,0.055865921787709494,0.625,0.17647058823529413,0.043362403100775194,359.09683390725,8.351089160633721,8,5,5.59375
Random forest,10% max occupancy-conflict,0.1,4.0,0.925,0.021739130434782608,0.5,0.13636363636363635,0.03343023255813953,321.9391286715,7.486956480732558,4,2,8.625
Random forest,20% max occupancy-conflict,0.2,1.0,0.85,0.06976744186046512,0.5555555555555556,0.2857142857142857,0.09375,705.616376584,16.409683176372095,18,10,5.375
Random forest,20% max occupancy-conflict,0.2,2.0,0.85,0.05305039787798409,0.625,0.37254901960784315,0.09132751937984496,703.9931528997499,16.371933788366277,16,10,5.890625
Random forest,20% max occupancy-conflict,0.2,4.0,0.85,0.03333333333333333,0.6363636363636364,0.5,0.07994186046511628,628.26906023525,14.610908377563954,11,7,7.5
DLinear,5% max occupancy-conflict,0.05,1.0,0.925,0.32967032967032966,0.3333333333333333,0.08571428571428572,0.022044573643410854,107.1734133875,2.4924049625,6,2,3.7916666666666665
DLinear,5% max occupancy-conflict,0.05,2.0,0.925,0.32967032967032966,0.3333333333333333,0.11764705882352941,0.022044573643410854,107.1734133875,2.4924049625,6,2,3.7916666666666665
DLinear,5% max occupancy-conflict,0.05,4.0,0.925,0.34545454545454546,0.0,0.13636363636363635,0.013323643410852713,81.76826151175001,1.9015874770174421,3,0,4.583333333333333
DLinear,10% max occupancy-conflict,0.1,1.0,0.875,0.43870967741935485,0.42857142857142855,0.1,0.0375484496124031,185.0878424105,4.304368428151163,7,3,5.535714285714286
DLinear,10% max occupancy-conflict,0.1,2.0,0.875,0.43870967741935485,0.42857142857142855,0.13725490196078433,0.0375484496124031,185.0878424105,4.304368428151163,7,3,5.535714285714286
DLinear,10% max occupancy-conflict,0.1,4.0,0.875,0.5230769230769231,0.2,0.18181818181818182,0.031492248062015504,135.84648722,3.159220633023256,5,1,6.5
DLinear,20% max occupancy-conflict,0.2,1.0,0.8,0.5526315789473685,0.5,0.11428571428571428,0.06443798449612403,254.84342862750003,5.926591363430234,8,4,8.3125
