evaluation_scope,strategy_key,strategy_label,selected_by_rules,seasonal_weight,lightgbm_weight,transformer_weight,threshold,anchor_time,window_number_within_horizon,window_start_time,window_end_time_exclusive,window_start_horizon_step,window_end_horizon_step_inclusive,recommended_window_intervals,recommended_window_duration_minutes,occupied_intervals_inside_window,occupied_minutes_inside_window,maximum_continuous_occupied_duration_minutes,conflict_interval_controllable_load_kwh,percent_of_window_occupied,occupied_horizon_steps,conflict_near_beginning,conflict_near_middle,conflict_near_end,conflict_position
validation_only,window_aware_definition_01,Window-aware 0.05/0.75/0.20 @ 0.875,window_aware_W80_Q99,0.05,0.75,0.2,0.875,2018-12-01 00:00:00-08:00,1,2018-12-01 03:30:00-08:00,2018-12-01 08:15:00-08:00,14,32,19,285,14,210,210,29.54706845275,73.68421052631578,19|20|21|22|23|24|25|26|27|28|29|30|31|32,True,True,True,beginning|middle|end
validation_only,window_aware_definition_01,Window-aware 0.05/0.75/0.20 @ 0.875,window_aware_W80_Q99,0.05,0.75,0.2,0.875,2018-12-02 00:00:00-08:00,1,2018-12-02 03:00:00-08:00,2018-12-02 09:15:00-08:00,12,36,25,375,10,150,150,30.1023735085,40.0,27|28|29|30|31|32|33|34|35|36,False,True,True,middle|end
validation_only,window_aware_definition_01,Window-aware 0.05/0.75/0.20 @ 0.875,window_aware_W80_Q99,0.05,0.75,0.2,0.875,2018-12-15 00:00:00-08:00,1,2018-12-15 03:00:00-08:00,2018-12-15 08:30:00-08:00,12,33,22,330,2,30,30,7.946805557499999,9.090909090909092,32|33,False,False,True,end
validation_only,window_aware_definition_01,Window-aware 0.05/0.75/0.20 @ 0.875,window_aware_W80_Q99,0.05,0.75,0.2,0.875,2018-12-21 00:00:00-08:00,1,2018-12-21 04:00:00-08:00,2018-12-21 05:00:00-08:00,16,19,4,60,1,15,15,1.0395588235,25.0,19,False,False,True,end
validation_only,window_aware_definition_01,Window-aware 0.05/0.75/0.20 @ 0.875,window_aware_W80_Q99,0.05,0.75,0.2,0.875,2019-01-05 00:00:00-08:00,1,2019-01-05 03:30:00-08:00,2019-01-05 08:15:00-08:00,14,32,19,285,1,15,15,0.33333333325,5.263157894736842,32,False,False,True,end
validation_only,window_aware_definition_02,"Window-aware primary challenger (W>=85%, Q=99%)",window_aware_W85_Q99,0.4,0.4,0.2,0.85,2018-12-01 00:00:00-08:00,1,2018-12-01 03:30:00-08:00,2018-12-01 08:00:00-08:00,14,31,18,270,13,195,195,27.72873511925,72.22222222222221,19|20|21|22|23|24|25|26|27|28|29|30|31,True,True,True,beginning|middle|end
validation_only,window_aware_definition_02,"Window-aware primary challenger (W>=85%, Q=99%)",window_aware_W85_Q99,0.4,0.4,0.2,0.85,2018-12-02 00:00:00-08:00,1,2018-12-02 03:00:00-08:00,2018-12-02 08:45:00-08:00,12,34,23,345,8,120,120,21.813415176,34.78260869565217,27|28|29|30|31|32|33|34,False,False,True,end
validation_only,window_aware_definition_02,"Window-aware primary challenger (W>=85%, Q=99%)",window_aware_W85_Q99,0.4,0.4,0.2,0.85,2019-01-03 00:00:00-08:00,1,2019-01-03 04:00:00-08:00,2019-01-03 05:00:00-08:00,16,19,4,60,4,60,60,3.66686532525,100.0,16|17|18|19,True,True,True,beginning|middle|end
validation_only,window_aware_definition_03,Window-aware 0.30/0.60/0.10 @ 0.900,window_aware_W90_Q99,0.3,0.6,0.1,0.9,2018-12-01 00:00:00-08:00,1,2018-12-01 03:45:00-08:00,2018-12-01 08:00:00-08:00,15,31,17,255,13,195,195,27.72873511925,76.47058823529412,19|20|21|22|23|24|25|26|27|28|29|30|31,True,True,True,beginning|middle|end
validation_only,window_aware_definition_03,Window-aware 0.30/0.60/0.10 @ 0.900,window_aware_W90_Q99,0.3,0.6,0.1,0.9,2018-12-02 00:00:00-08:00,1,2018-12-02 03:45:00-08:00,2018-12-02 08:45:00-08:00,15,34,20,300,8,120,120,21.813415176,40.0,27|28|29|30|31|32|33|34,False,True,True,middle|end
