model,policy,metric,mean,ci95_low,ci95_high,bootstrap_blocks,bootstrap_reps
Historical average,risk_delta_10%,auprc_empty,0.847153895638327,0.7916275826125214,0.8916729494004272,43,200
Historical average,risk_delta_10%,f1_empty,0.7610134009863088,0.6856232857977879,0.8214366968926904,43,200
Historical average,risk_delta_10%,occupancy_conflict_rate,0.0,0.0,0.0,43,200
Historical average,risk_delta_10%,safe_shiftable_load_opportunity_kwh,98.7109271144867,28.706030702590944,183.1670070648194,43,200
LightGBM,risk_delta_10%,auprc_empty,0.8383819552713496,0.7699817834921174,0.8958314687146676,43,200
LightGBM,risk_delta_10%,f1_empty,0.7538092562252825,0.6913137352599236,0.8095476309977917,43,200
LightGBM,risk_delta_10%,occupancy_conflict_rate,0.04425988619974575,0.0,0.11824451410658308,43,200
LightGBM,risk_delta_10%,safe_shiftable_load_opportunity_kwh,527.2230273056031,95.82945079803467,1195.6227966308593,43,200
Random forest,risk_delta_10%,auprc_empty,0.8221493983994277,0.7447915920824506,0.8825126592283039,43,200
Random forest,risk_delta_10%,f1_empty,0.7684637387169576,0.7106794655171603,0.829042650770782,43,200
Random forest,risk_delta_10%,occupancy_conflict_rate,0.052625074920211755,0.0,0.1440849673202615,43,200
Random forest,risk_delta_10%,safe_shiftable_load_opportunity_kwh,364.8586831569672,41.26110820770264,930.2356185913088,43,200
DLinear,risk_delta_10%,auprc_empty,0.5271324323939097,0.41772564233722903,0.6843567017318647,43,200
DLinear,risk_delta_10%,f1_empty,0.5843617266390095,0.4999320652173913,0.6581687206344032,43,200
DLinear,risk_delta_10%,occupancy_conflict_rate,0.40853439165057026,0.0,0.6215207314402511,43,200
DLinear,risk_delta_10%,safe_shiftable_load_opportunity_kwh,180.36615785598755,26.00921621322632,345.8841552734378,43,200
Transformer,risk_delta_10%,auprc_empty,0.7527014099091067,0.6714105604603428,0.8210019014871698,43,200
Transformer,risk_delta_10%,f1_empty,0.6424418439767937,0.5644327554206724,0.7025380550427688,43,200
Transformer,risk_delta_10%,occupancy_conflict_rate,0.07580561393181365,0.0,0.15789473684210525,43,200
Transformer,risk_delta_10%,safe_shiftable_load_opportunity_kwh,93.41642177581787,0.0,245.52698974609388,43,200
