model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,safe_shiftable_load_opportunity_kwh,gross_shiftable_load_opportunity_kwh,raw_recommended_controllable_kwh,conflict_controllable_kwh,available_empty_controllable_kwh,safe_energy_capture_rate,emission_avoided_kg_co2e,safe_recommended_intervals,split,daily_anchor_count,pareto_frontier
DLinear,test_daily_threshold_sweep,0.95,4,0.008478682170542635,0.11428571428571428,0.0013418316001341832,0.972972972972973,0.8857142857142857,0.02702702702702703,35,4,79.2219009399414,99.91618347167969,99.91618347167969,20.694284439086914,2296.60400390625,0.03449523766622125,15.844380187988282,31,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.925,4,0.022044573643410854,0.32967032967032966,0.010063737001006373,0.946817785527463,0.6703296703296703,0.05318221447253706,91,30,107.17341613769531,211.8117218017578,211.8117218017578,104.63832092285156,2296.60400390625,0.04666604079562959,21.434683227539065,61,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.65,4,0.19694767441860464,0.3960639606396064,0.10801744381080175,0.5719267654751525,0.6039360393603936,0.4280732345248474,813,322,1139.629150390625,2243.68994140625,2243.68994140625,1104.0609130859375,2296.60400390625,0.49622361907070245,227.92583007812502,491,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.6,4,0.2248062015503876,0.4040948275862069,0.12579671251257968,0.5178727114210985,0.5959051724137931,0.48212728857890147,928,375,1280.98681640625,2499.559814453125,2499.559814453125,1218.572998046875,2296.60400390625,0.5577743547548658,256.19736328125003,553,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.55,4,0.2550872093023256,0.4140550807217474,0.14625964441462597,0.46207497820401044,0.5859449192782527,0.5379250217959896,1053,436,1357.913330078125,2722.221435546875,2722.221435546875,1364.30810546875,2296.60400390625,0.5912701222189267,271.582666015625,617,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.525,4,0.2657461240310077,0.41476754785779396,0.15263334451526334,0.44027898866608545,0.585232452142206,0.5597210113339146,1097,455,1378.411376953125,2789.65234375,2789.65234375,1411.240966796875,2296.60400390625,0.6001954950041938,275.682275390625,642,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.5,4,0.27955426356589147,0.4194107452339688,0.16236162361623616,0.41586748038360943,0.5805892547660312,0.5841325196163906,1154,484,1439.0135498046875,2903.3203125,2903.3203125,1464.306884765625,2296.60400390625,0.6265832278255619,287.80270996093753,670,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.475,4,0.28900193798449614,0.41994970662196146,0.16806440791680644,0.3966870095902354,0.5800502933780386,0.6033129904097646,1193,501,1456.0750732421875,2948.77880859375,2948.77880859375,1492.70361328125,2296.60400390625,0.6340122505950425,291.2150146484375,692,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.45,4,0.3020833333333333,0.4322373696872494,0.18081180811808117,0.3827375762859634,0.5677626303127506,0.6172624237140366,1247,539,1485.507080078125,3097.02978515625,3097.02978515625,1611.5224609375,2296.60400390625,0.6468276975706104,297.10141601562503,708,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.425,4,0.313953488372093,0.4382716049382716,0.19054008721905402,0.3653007846556234,0.5617283950617284,0.6346992153443767,1296,568,1514.638427734375,3221.515869140625,3221.515869140625,1706.8773193359375,2296.60400390625,0.659512229865556,302.927685546875,728,test_daily,43,True
