split,model,risk_delta,empty_probability_threshold,load_assumption,load_assumption_description,gross_recommended_estimated_opportunity_kwh,safe_estimated_opportunity_kwh,conflict_estimated_kwh,available_actual_empty_estimated_opportunity_kwh,energy_formula,counterfactual_status
test_daily,Historical average,0.05,0.95,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,94.623046875,94.623046875,0.0,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.1,0.95,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,94.623046875,94.623046875,0.0,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.2,0.725,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,1455.660888671875,1254.3980712890625,201.26266479492188,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.05,0.95,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,537.878173828125,493.92315673828125,43.9550895690918,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.1,0.95,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,537.878173828125,493.92315673828125,43.9550895690918,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.2,0.875,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,1026.34814453125,918.45703125,107.89096069335938,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.05,0.925,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,402.3389587402344,359.5405578613281,42.798370361328125,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.1,0.925,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,402.3389587402344,359.5405578613281,42.798370361328125,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.2,0.85,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,791.5411376953125,705.6163330078125,85.92485046386719,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.05,0.925,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,211.8117218017578,107.17341613769531,104.63832092285156,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.1,0.875,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,421.5311279296875,185.0878448486328,236.44326782226562,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.2,0.8,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,705.1781005859375,254.8434295654297,450.334716796875,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.05,0.9,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,101.53218841552734,97.43921661376953,4.092967987060547,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.1,0.9,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,101.53218841552734,97.43921661376953,4.092967987060547,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.2,0.85,hvac_lighting_full_metered,HVAC south + lighting south at 100% metered kW,305.7698059082031,292.28759765625,13.482231140136719,2296.60400390625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.05,0.95,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,34.65956497192383,34.65956497192383,0.0,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.1,0.95,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,34.65956497192383,34.65956497192383,0.0,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.2,0.725,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,501.3161926269531,433.1211242675781,68.19507598876953,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.05,0.95,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,188.4815216064453,173.9976043701172,14.483922958374023,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.1,0.95,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,188.4815216064453,173.9976043701172,14.483922958374023,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.2,0.875,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,361.3104553222656,324.4696044921875,36.840850830078125,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.05,0.925,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,148.2587127685547,134.81924438476562,13.439470291137695,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.1,0.925,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,148.2587127685547,134.81924438476562,13.439470291137695,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.2,0.85,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,287.3301696777344,258.20037841796875,29.129810333251953,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.05,0.925,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,75.67999267578125,38.42494201660156,37.25505828857422,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.1,0.875,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,157.52862548828125,62.67156219482422,94.85706329345703,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.2,0.8,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,283.4991455078125,84.99886322021484,198.50027465820312,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.05,0.9,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,35.423404693603516,33.45363998413086,1.9697654247283936,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.1,0.9,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,35.423404693603516,33.45363998413086,1.9697654247283936,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.2,0.85,hvac_lighting_conservative,30% HVAC south + 80% lighting south controllable,100.58219909667969,95.28691101074219,5.295294284820557,800.00048828125,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.05,0.95,lighting_only_full,Lighting south at 100% metered kW,12.54529857635498,12.54529857635498,0.0,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.1,0.95,lighting_only_full,Lighting south at 100% metered kW,12.54529857635498,12.54529857635498,0.0,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.2,0.725,lighting_only_full,Lighting south at 100% metered kW,129.2359161376953,113.60337829589844,15.632543563842773,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.05,0.95,lighting_only_full,Lighting south at 100% metered kW,54.23609161376953,51.64129638671875,2.594791889190674,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.1,0.95,lighting_only_full,Lighting south at 100% metered kW,54.23609161376953,51.64129638671875,2.594791889190674,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.2,0.875,lighting_only_full,Lighting south at 100% metered kW,106.81208038330078,97.86495971679688,8.947125434875488,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.05,0.925,lighting_only_full,Lighting south at 100% metered kW,55.11404037475586,53.914119720458984,1.1999166011810303,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.1,0.925,lighting_only_full,Lighting south at 100% metered kW,55.11404037475586,53.914119720458984,1.1999166011810303,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.2,0.85,lighting_only_full,Lighting south at 100% metered kW,99.7356185913086,93.0309066772461,6.704708576202393,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.05,0.925,lighting_only_full,Lighting south at 100% metered kW,24.27295684814453,12.545833587646484,11.72712516784668,222.0384521484375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
