model,positive_class,recall_empty,precision_empty,f1_empty,auroc_empty,auprc_empty,brier_empty,log_loss_empty,split
Historical average,empty,0.627332225320901,0.593398882641868,0.6098939219660039,0.7627645849097207,0.6700951283624541,0.1676684319972992,0.7907927732242359,validation
LightGBM,empty,0.6954937697775524,0.6380991764016679,0.6655614113122437,0.8176622121935453,0.722791498694545,0.15535924214961275,0.5477287016279021,validation
Random forest,empty,0.6821882306543846,0.6459014935988621,0.663549139864004,0.8389479237477894,0.7073698446636151,0.14525970167226485,0.4601702413934935,validation
DLinear,empty,0.6772021747091468,0.6029596187609731,0.637928060608473,0.7968025840602359,0.631791106300382,0.17940610647201538,0.5425082313542282,validation
Transformer,empty,0.6853244692338751,0.6410909570029426,0.6624701600239628,0.8160218958336806,0.6904108616416211,0.15022216737270355,0.4859368969720322,validation
Historical average,empty,0.8015003572279114,0.7263829857882853,0.7620951236293645,0.9261948973252695,0.8496651679914844,0.09735449403524399,0.32374530366305154,test
LightGBM,empty,0.7592833458515764,0.7609561752988048,0.7601188402076036,0.9290854625716777,0.838153898780212,0.09560093551604887,0.3058098979534778,test
Random forest,empty,0.8019217029695715,0.7510294067185945,0.7756416503503938,0.9307108185247419,0.8328591941113339,0.09717753933663799,0.3160563425201097,test
DLinear,empty,0.6657445912030336,0.5764066775050557,0.617862956870646,0.7944271113901423,0.5933073635373366,0.18115003407001495,0.5482562870967463,test
Transformer,empty,0.6022313004927913,0.7253110934604183,0.6580656784538239,0.9033640015295508,0.7620963459460512,0.11364582180976868,0.3509504649205253,test
