model,positive_class,recall_empty,precision_empty,f1_empty,auroc_empty,auprc_empty,brier_empty,log_loss_empty,seed
LightGBM,empty,0.7606298202868815,0.7649247888284006,0.76277125864009,0.9262959467644158,0.8342441983681839,0.09706643022888986,0.3112498719383156,42
Random forest,empty,0.8046604502903622,0.7507477737706599,0.7767697667427096,0.9292948783328776,0.8304514751709703,0.09819211668764097,0.31985015350572443,42
LightGBM,empty,0.7504534046567864,0.7479800976856712,0.7492147099570663,0.9280286948423907,0.8353683337886195,0.09697962364493291,0.30848225831116866,43
Random forest,empty,0.8123087914704966,0.7429627023223082,0.7760897531263947,0.9292195873152551,0.8285570463386503,0.09801881091963151,0.3169183213531897,43
LightGBM,empty,0.7696246359023211,0.754245960502693,0.7618576985501464,0.9285378924825108,0.8367143503684432,0.09663550361000668,0.3085548895030155,44
Random forest,empty,0.789437045450382,0.7507164322111406,0.769590006205939,0.9304898369049395,0.832103306544106,0.09698701588844476,0.31526155986123017,44
DLinear,empty,0.6660285415941525,0.5760768810261367,0.6177956201278701,0.7941858367365247,0.5909403237321542,0.18115146458148956,0.548392585611708,42
Transformer,empty,0.4895945921190027,0.7207038360412593,0.5830837955917726,0.8906011673267067,0.7433052285155556,0.12167835980653763,0.37585522630017665,42
DLinear,empty,0.6641233260666459,0.5751626209741393,0.6164500029757604,0.7934480754022442,0.5964138908265567,0.18147027492523193,0.5487709127284464,43
Transformer,empty,0.6019107113415282,0.7268172366500022,0.6584930806770014,0.902725734059175,0.7521216796501727,0.11539452522993088,0.3509789221728883,43
DLinear,empty,0.6664224082657043,0.5719046982714574,0.6155564298133178,0.7917097805413278,0.5881578907117132,0.18213525414466858,0.5507353644641912,44
Transformer,empty,0.7038122629930204,0.7079624818029373,0.7058812721627133,0.8997231012412134,0.7489198628893939,0.11465605348348618,0.35232457719722843,44
