model,seed,epoch,train_loss,val_loss,best_epoch
DLinear,42,1,0.42046747805289875,0.3742211981672789,12
DLinear,42,2,0.3921850834175945,0.3650052057327989,12
DLinear,42,3,0.38454696947533423,0.35733061127255217,12
DLinear,42,4,0.3803706460777706,0.3565587693842772,12
DLinear,42,5,0.377678604774316,0.35467525922726884,12
DLinear,42,6,0.37579208371667416,0.3513148340188932,12
DLinear,42,7,0.3744162794947791,0.350230617596406,12
DLinear,42,8,0.37333671772915844,0.3514970920751187,12
DLinear,42,9,0.3725194609079761,0.35142839433195117,12
DLinear,42,10,0.3719444347334952,0.3487741641590847,12
DLinear,42,11,0.3712999242166076,0.34802337910368225,12
DLinear,42,12,0.37083270158694814,0.3470728471218664,12
Transformer,42,1,0.3505056718566985,0.3887976896619606,2
Transformer,42,2,0.27360754483164335,0.3811036804648681,2
Transformer,42,3,0.24461071045716676,0.38651196098773277,2
Transformer,42,4,0.22408058021331673,0.39180549952153054,2
Transformer,42,5,0.2092720205207787,0.40166111526406495,2
Transformer,42,6,0.19805256057613863,0.43898421541075205,2
DLinear,43,1,0.4207307883606039,0.37416384334717,11
DLinear,43,2,0.3921458980840382,0.3623124508100135,11
DLinear,43,3,0.3843395951950739,0.3579990641456421,11
DLinear,43,4,0.38024466681050584,0.35426480972241653,11
DLinear,43,5,0.3775549385683927,0.3527652917143818,11
DLinear,43,6,0.37570009172466645,0.3520586340067702,11
DLinear,43,7,0.37425439526349846,0.35086114784585776,11
DLinear,43,8,0.3732438240020701,0.3506045575533435,11
DLinear,43,9,0.3724308145716332,0.3490380337384737,11
DLinear,43,10,0.3717379252044693,0.34963426804829023,11
DLinear,43,11,0.37115675438045087,0.34793843470205454,11
DLinear,43,12,0.3707529797688703,0.3496729586248563,11
Transformer,43,1,0.34145382947059705,0.40790439838560943,4
Transformer,43,2,0.27049501610425625,0.4234725976499601,4
Transformer,43,3,0.2398692982735489,0.41350923919868726,4
Transformer,43,4,0.21999926213941556,0.4054176897089058,4
Transformer,43,5,0.20719299319876874,0.4412056956335763,4
Transformer,43,6,0.19648171201607767,0.4527505175850898,4
Transformer,43,7,0.18711807428338842,0.4646261539812559,4
Transformer,43,8,0.1789908639105949,0.48261020977761304,4
DLinear,44,1,0.41946033907259683,0.3749826549687914,9
DLinear,44,2,0.39184320074440976,0.3629907744430573,9
DLinear,44,3,0.38430238558479723,0.35725939780752236,9
DLinear,44,4,0.38016669982878976,0.35506017096688813,9
DLinear,44,5,0.37746548015422177,0.3522805908334271,9
DLinear,44,6,0.3757691474048577,0.35094506991243807,9
DLinear,44,7,0.3742739956040284,0.3509478723573112,9
DLinear,44,8,0.3732177308165582,0.35144543001584916,9
DLinear,44,9,0.37239946509641,0.3483376842633745,9
DLinear,44,10,0.3717028898205284,0.3509029330255511,9
DLinear,44,11,0.37117754661364794,0.3494073230290763,9
DLinear,44,12,0.37068828261450554,0.3500054284552229,9
Transformer,44,1,0.3554268057883223,0.38998996427603494,4
Transformer,44,2,0.27232421724782013,0.3861451168881558,4
Transformer,44,3,0.24768818843308651,0.40473641546291406,4
Transformer,44,4,0.2287266493848107,0.3740272861695258,4
Transformer,44,5,0.21598659689959965,0.3763821530246607,4
Transformer,44,6,0.20370884749671925,0.3789502687622931,4
Transformer,44,7,0.19295624760906385,0.4026359712329503,4
Transformer,44,8,0.18254780044521493,0.4191397926676894,4
